# name	source	id
devonian	wikidata	Q65955
carboniferous	wikidata	Q133738
permian	wikidata	Q76402
triassic	wikidata	Q47158
jurassic	wikidata	Q45805
cretaceous	wikidata	Q44626
paleogene	wikidata	Q55810
neogene	wikidata	Q103924
quaternary	wikidata	Q26185
pleistocene	wikidata	Q25546
holocene	wikidata	Q4139
fossil	wikidata	Q40614
paleontology	wikidata	Q7205
landform	wikidata	Q271669
mountain	wikidata	Q8502
hill	wikidata	Q54050
plateau	wikidata	Q75520
plain	wikidata	Q160091
valley	wikidata	Q39816
canyon	wikidata	Q150784
natural-basin	wikidata	Q813672
island	wikidata	Q23442
archipelago	wikidata	Q33837
peninsula	wikidata	Q34763
isthmus	wikidata	Q93267
cape	wikidata	Q185113
continent	wikidata	Q5107
continental-shelf	wikidata	Q134851
coast	wikidata	Q93352
beach	wikidata	Q40080
dune	wikidata	Q25391
cliff	wikidata	Q107679
fjord	wikidata	Q45776
estuary	wikidata	Q47053
river	wikidata	Q4022
tributary	wikidata	Q159675
river-mouth	wikidata	Q1233637
river-source	wikidata	Q7376362
drainage-basin	wikidata	Q166620
floodplain	wikidata	Q193110
meander	wikidata	Q180537
waterfall	wikidata	Q34038
rapids	wikidata	Q695793
lake	wikidata	Q23397
reservoir	wikidata	Q131681
pond	wikidata	Q3253281
wetland	wikidata	Q170321
swamp	wikidata	Q166735
marsh	wikidata	Q30198
bog	wikidata	Q1681353
glacier	wikidata	Q35666
ice-sheet	wikidata	Q12599
ice-cap	wikidata	Q878077
ice-shelf	wikidata	Q46966
iceberg	wikidata	Q47568
sea-ice	wikidata	Q213926
permafrost	wikidata	Q179918
desert	wikidata	Q8514
oasis	wikidata	Q43742
cave	wikidata	Q35509
karst	wikidata	Q16817
sinkhole	wikidata	Q188734
aquifer	wikidata	Q208791
groundwater	wikidata	Q161598
natural-spring	wikidata	Q124714
geyser	wikidata	Q83471
hot-spring	wikidata	Q177380
water-cycle	wikidata	Q81041
precipitation	wikidata	Q25257
ocean	wikidata	Q9430
sea	wikidata	Q165
gulf	wikidata	Q1322134
bay	wikidata	Q39594
strait	wikidata	Q37901
lagoon	wikidata	Q187223
reef	wikidata	Q184358
coral-reef	wikidata	Q11292
atoll	wikidata	Q42523
ocean-current	wikidata	Q129558
ocean-gyre	wikidata	Q1250263
tide	wikidata	Q23384
tidal-range	wikidata	Q1398201
tsunami	wikidata	Q8070
sea-level	wikidata	Q125465
ocean-floor	wikidata	Q468469
abyssal-plain	wikidata	Q570554
oceanic-trench	wikidata	Q119253
seamount	wikidata	Q503269
pelagic-zone	wikidata	Q191468
