# name	source	id
# ===== the mathematics skeleton: Wikidata alignments (second witness beside Claude's review). Names qualified where the word is everyday.
transitive-closure	wikidata	Q1501387
reachability	wikidata	Q1361526
connected-component	wikidata	Q2997928
strongly-connected-component	wikidata	Q2003238
adjacency-matrix	wikidata	Q727035
graph-isomorphism	wikidata	Q303100
graph-homomorphism	wikidata	Q3385162
polytree	wikidata	Q7227115
cyclic-graph	wikidata	Q130323481
acyclic-graph	wikidata	Q3115453
# mathematical logic (Wikidata); subsumption and logical-model have no Wikidata item and are placed by ruling
logical-connective	wikidata	Q211790
logical-conjunction	wikidata	Q191081
logical-disjunction	wikidata	Q1651704
material-implication	wikidata	Q7881229
quantifier	wikidata	Q592911
universal-quantifier	wikidata	Q126695
existential-quantifier	wikidata	Q773483
logical-predicate	wikidata	Q1144319
truth-value	wikidata	Q185521
truth-table	wikidata	Q219079
tautology	wikidata	Q209555
inference-rule	wikidata	Q1068763
syllogism	wikidata	Q107342
formal-system	wikidata	Q649732
well-formed-formula	wikidata	Q655328
propositional-logic	wikidata	Q200694
first-order-logic	wikidata	Q4055684
modal-logic	wikidata	Q210841
description-logic	wikidata	Q387196
model-theory	wikidata	Q467606
proof-theory	wikidata	Q852732
computability-theory	wikidata	Q818930
mathematical-induction	wikidata	Q178377
deductive-reasoning	wikidata	Q484284
inductive-reasoning	wikidata	Q484511
logical-consequence	wikidata	Q374182
satisfiability	wikidata	Q875276
decidability	wikidata	Q430001
logical-consistency	wikidata	Q1319773
logical-completeness	wikidata	Q15846555
logical-soundness	wikidata	Q693083
turing-machine	wikidata	Q163310
decision-problem	wikidata	Q3262192
lambda-calculus	wikidata	Q242028
type-theory	wikidata	Q1056428
boolean-function	wikidata	Q942353
godel-incompleteness-theorem	wikidata	Q200787
classical-logic	wikidata	Q236975
fuzzy-logic	wikidata	Q224821
intuitionistic-logic	wikidata	Q176786
paradox	wikidata	Q483372
logical-negation	wikidata	Q190558
mathematical-logic	wikidata	Q1166618
subsumption	wikidata	-	# the description-logic relation OntoDAG computes; no Wikidata item
