# name	source	id
satellite	wikidata	Q26540
space-probe	wikidata	Q26529
space-station	wikidata	Q25956
space-telescope	wikidata	Q148578
crewed-spacecraft	wikidata	Q7217761
space-capsule	wikidata	Q957055
launch-vehicle	wikidata	Q697175
rocket-engine	wikidata	Q335225
liquid-propellant-rocket	wikidata	Q860308
solid-propellant-rocket	wikidata	Q280602
reusable-launch-system	wikidata	Q30128
spaceport	wikidata	Q194188
launch-pad	wikidata	Q1353183
rocket-launch	wikidata	Q797476
orbital-spaceflight	wikidata	Q218455
suborbital-spaceflight	wikidata	Q832435
human-spaceflight	wikidata	Q752783
space-suit	wikidata	Q223571
space-rendezvous	wikidata	Q1093759
atmospheric-entry	wikidata	Q531716
lander	wikidata	Q763288
planetary-rover	wikidata	Q643962
orbiter	wikidata	Q928667
sample-return-mission	wikidata	Q1093833
international-space-station	wikidata	Q25271
hubble-space-telescope	wikidata	Q2513
james-webb-space-telescope	wikidata	Q186447
voyager-1	wikidata	Q48469
voyager-2	wikidata	Q48475
apollo-program	wikidata	Q46611
apollo-11	wikidata	Q43653
sputnik-1	wikidata	Q80811
space-shuttle	wikidata	Q48806
falcon-9	wikidata	Q249091
saturn-v	wikidata	Q54363
soyuz-spacecraft	wikidata	Q579421
communications-satellite	wikidata	Q149918
weather-satellite	wikidata	Q209363
earth-observation-satellite	wikidata	Q854845
navigation-satellite	wikidata	Q1285444
reconnaissance-satellite	wikidata	Q466421
cubesat	wikidata	Q1142930
space-debris	wikidata	Q275450
kessler-syndrome	wikidata	Q693564
space-weather	wikidata	Q584093
geomagnetic-storm	wikidata	Q130011
nasa	wikidata	Q23548
european-space-agency	wikidata	Q42262
isro	wikidata	Q229058
cnsa	wikidata	Q320644
spacex	wikidata	Q193701
international-astronomical-union	wikidata	Q6867
telescope	wikidata	Q4213
optical-telescope	wikidata	Q35273
refracting-telescope	wikidata	Q216778
reflecting-telescope	wikidata	Q35221
radio-telescope	wikidata	Q184356
observatory	wikidata	Q62832
planetarium	wikidata	Q148319
armillary-sphere	wikidata	Q328720
spectroscopy	wikidata	Q483666
astronomical-photometry	wikidata	Q1073340
interferometry	wikidata	Q850283
adaptive-optics	wikidata	Q506922
planetary-system	wikidata	Q206717
star-system	wikidata	Q595871
stellar-evolution	wikidata	Q6472
hertzsprung-russell-diagram	wikidata	Q3270143
nucleosynthesis	wikidata	Q471702
event-horizon	wikidata	Q181741
tidal-locking	wikidata	Q109144
roche-limit	wikidata	Q232086
hill-sphere	wikidata	Q498792
barycenter	wikidata	Q809690
ephemeris	wikidata	Q120200
astronomical-catalog	wikidata	Q605175
messier-object	wikidata	Q14530
new-general-catalogue	wikidata	Q14534
bayer-designation	wikidata	Q105616
star-catalogue	wikidata	Q850950
light-pollution	wikidata	Q180644
astrophotography	wikidata	Q280855
amateur-astronomy	wikidata	Q560575
equinoctial-point	wikidata	-
sidereal-day	wikidata	Q1778552
