sub	sup	issue
group	pile	disputed: ['sumo'] vs ['wordnet']
group	series	disputed: ['sumo'] vs ['wordnet']
group	set	disputed: ['sumo'] vs ['wordnet']
guarantee		unplaced: best single witness: regard (sumo)
guest		unplaced: best single witness: organism (wordnet)
guideline		unplaced: best single witness: indication (wordnet)
guideline	information	disputed: ['opencyc'] vs ['sumo']
habit		unplaced: best single witness: knowledge (wordnet)
habitat	site	disputed: ['opencyc'] vs ['sumo']
half		unplaced: best single witness: quantity (wordnet)
halt		unplaced: best single witness: revival (sumo)
hand		unplaced: best single witness: bottom (sumo)
harbour		unplaced: best single witness: location (wordnet)
hardship		unplaced: best single witness: ability (sumo)
hay		unplaced: best single witness: food (wordnet)
headline		unplaced: best single witness: text (wordnet)
headline	information	disputed: ['opencyc'] vs ['sumo']
health		unplaced: best single witness: ability (sumo)
heart		unplaced: best single witness: notion (wordnet)
heaven		unplaced: best single witness: location (wordnet)
hedge		unplaced: best single witness: structure (wordnet)
height		unplaced: best single witness: magnitude (wordnet)
heir		unplaced: best single witness: organism (wordnet)
hell		unplaced: best single witness: location (wordnet)
hemisphere		unplaced: best single witness: location (wordnet)
herb	spinach	disputed: ['sumo'] vs ['wordnet']
heroin		unplaced: best single witness: drug (wordnet)
hierarchy		unplaced: best single witness: group (wordnet)
hill		unplaced: best single witness: object (wordnet)
history		unplaced: best single witness: past (wordnet)
hole		unplaced: best single witness: location (wordnet)
home	residence	disputed: ['wordnet'] vs ['schemaorg', 'sumo']
honey		unplaced: best single witness: food (wordnet)
honour		unplaced: best single witness: ability (sumo)
horizon		unplaced: best single witness: location (wordnet)
horizon	site	disputed: ['opencyc'] vs ['sumo']
horoscope		unplaced: best single witness: statement (wordnet)
horror		unplaced: best single witness: emotion (wordnet)
hospitality		unplaced: best single witness: greeting (wordnet)
host		unplaced: best single witness: adult (wordnet)
hostage		unplaced: best single witness: organism (wordnet)
hostility		unplaced: best single witness: disposition (wordnet)
house	monastery	disputed: ['sumo'] vs ['wordnet']
house	villa	disputed: ['sumo'] vs ['wordnet', 'yago']
housing	monastery	disputed: ['sumo'] vs ['wordnet']
human	individual	disputed: ['yago'] vs ['sumo']
human-body	organism	disputed: ['sumo'] vs ['dul']
human-body	substance	disputed: ['sumo'] vs ['dul']
humanities		unplaced: best single witness: discipline (wordnet)
humour		unplaced: best single witness: feeling (wordnet)
husband		unplaced: best single witness: organism (wordnet)
hypothesis		unplaced: best single witness: proposal (wordnet)
ice		unplaced: best single witness: crystal (wordnet)
ice-cream		unplaced: best single witness: sweet (wordnet)
idea		unplaced: best single witness: knowledge (wordnet)
idea	right	disputed: ['sumo'] vs ['wordnet']
ideal		unplaced: best single witness: idea (wordnet)
identity		unplaced: best single witness: personality (wordnet)
ideology		unplaced: best single witness: attitude (wordnet)
ignorance		unplaced: best single witness: knowledge (wordnet)
illusion		unplaced: best single witness: knowledge (wordnet)
illustration		unplaced: best single witness: graphics (wordnet)
image		unplaced: best single witness: knowledge (wordnet)
imagination		unplaced: best single witness: knowledge (wordnet)
implication		unplaced: best single witness: knowledge (wordnet)
import		unplaced: best single witness: object (wordnet)
import	object	disputed: ['wordnet'] vs ['sumo']
impulse		unplaced: best single witness: motivation (wordnet)
impulse	motivation	disputed: ['wordnet'] vs ['sumo']
incentive		unplaced: best single witness: motivation (wordnet)
incentive	motivation	disputed: ['wordnet'] vs ['sumo']
incentive	situation	disputed: ['opencyc'] vs ['sumo']
inch		unplaced: best single witness: quantity (wordnet)
incident		unplaced: best single witness: natural-event (wordnet)
income		unplaced: best single witness: relation (wordnet)
increase		unplaced: best single witness: quantity (wordnet)
index		unplaced: best single witness: standard (wordnet)
indication		unplaced: best single witness: bottom (sumo)
indication	information	disputed: ['opencyc'] vs ['sumo']
indication	shaft	disputed: ['sumo'] vs ['wordnet']
individual	thinker	disputed: ['sumo'] vs ['wordnet']
industry		unplaced: best single witness: group (wordnet)
inflation		unplaced: no witness places it
information	interface	disputed: ['sumo'] vs ['opencyc']
information	list	disputed: ['sumo'] vs ['wordnet']
information	overview	disputed: ['sumo'] vs ['opencyc']
information	password	disputed: ['sumo'] vs ['wordnet']
information	proof	disputed: ['sumo'] vs ['opencyc']
information	slogan	disputed: ['sumo'] vs ['opencyc']
information	timetable	disputed: ['sumo'] vs ['wordnet']
infrastructure		unplaced: best single witness: bottom (sumo)
ingredient		unplaced: best single witness: object (wordnet)
initial		unplaced: best single witness: symbol (wordnet)
initiative		unplaced: best single witness: trait (wordnet)
initiative	trait	disputed: ['wordnet'] vs ['sumo']
injury		unplaced: best single witness: condition (wordnet)
inn		unplaced: best single witness: structure (wordnet)
innovation		unplaced: best single witness: object (wordnet)
inside		unplaced: best single witness: location (wordnet)
insider		unplaced: best single witness: chief (wordnet)
insight		unplaced: best single witness: knowledge (wordnet)
inspector		unplaced: best single witness: organism (wordnet)
inspiration		unplaced: best single witness: idea (wordnet)
instinct		unplaced: best single witness: knowledge (wordnet)
instruction		unplaced: best single witness: regard (sumo)
insurance		unplaced: best single witness: relation (wordnet)
integrity		unplaced: best single witness: ability (sumo)
intelligence		unplaced: best single witness: knowledge (wordnet)
interest		unplaced: best single witness: condition (wordnet)
interface		unplaced: best single witness: location (wordnet)
interface	location	disputed: ['wordnet'] vs ['sumo']
interface	object	disputed: ['wordnet'] vs ['sumo']
interface	region	disputed: ['wordnet'] vs ['sumo']
interference		unplaced: best single witness: knowledge (wordnet)
introduction		unplaced: best single witness: action (wordnet)
investigation		unplaced: best single witness: knowledge (wordnet)
investigator	scientist	disputed: ['wordnet'] vs ['opencyc']
irony		unplaced: best single witness: ability (sumo)
isolation		unplaced: best single witness: separation (wordnet)
issue		unplaced: best single witness: knowledge (wordnet)
jar	product	disputed: ['yago'] vs ['sumo']
jazz		unplaced: best single witness: conversation (wordnet)
jazz	talk	disputed: ['wordnet'] vs ['sumo']
jet		unplaced: best single witness: aircraft (wordnet)
jewel		unplaced: best single witness: object (wordnet)
job		unplaced: best single witness: activity (wordnet)
joint		unplaced: best single witness: bottom (sumo)
joke		unplaced: best single witness: ability (sumo)
journal		unplaced: best single witness: structure (sumo)
joy		unplaced: best single witness: emotion (wordnet)
judgment		unplaced: best single witness: opinion (wordnet)
juice		unplaced: best single witness: food (wordnet)
junction		unplaced: best single witness: location (wordnet)
junction	location	disputed: ['wordnet'] vs ['sumo']
junction	object	disputed: ['wordnet'] vs ['sumo']
junction	place	disputed: ['wordnet'] vs ['sumo']
jungle		unplaced: best single witness: location (wordnet)
jurisdiction	power	disputed: ['wordnet'] vs ['sumo']
justification		unplaced: best single witness: knowledge (wordnet)
king		unplaced: best single witness: individual (wordnet)
kingdom		unplaced: best single witness: arena (wordnet)
kinship		unplaced: best single witness: relation (wordnet)
kite		unplaced: best single witness: document (wordnet)
knot		unplaced: best single witness: group (wordnet)
knowledge		unplaced: best single witness: ability (sumo)
knowledge	layout	disputed: ['sumo'] vs ['wordnet']
knowledge	obstacle	disputed: ['sumo'] vs ['wordnet']
knowledge	possibility	disputed: ['sumo'] vs ['wordnet']
knowledge	precedent	disputed: ['sumo'] vs ['wordnet']
knowledge	proof	disputed: ['sumo'] vs ['wordnet']
knowledge	right	disputed: ['sumo'] vs ['wordnet']
knowledge	sample	disputed: ['sumo'] vs ['wordnet']
knowledge	sensitivity	disputed: ['sumo'] vs ['wordnet']
knowledge	specimen	disputed: ['sumo'] vs ['wordnet']
label		unplaced: best single witness: event (wordnet)
labour		unplaced: best single witness: group (wordnet)
labourer		unplaced: best single witness: individual (wordnet)
labourer	miner	disputed: ['sumo'] vs ['wordnet']
landowner		unplaced: best single witness: organism (wordnet)
landscape	neighbourhood	disputed: ['wordnet'] vs ['sumo']
landscape	site	disputed: ['opencyc'] vs ['sumo']
language		unplaced: best single witness: bottom (sumo)
law		unplaced: best single witness: group (wordnet)
layer		unplaced: best single witness: object (wordnet)
layer	object	disputed: ['wordnet'] vs ['sumo']
layout		unplaced: best single witness: knowledge (wordnet)
leader		unplaced: best single witness: organism (wordnet)
leaflet		unplaced: best single witness: tissue (wordnet)
lease		unplaced: best single witness: relation (wordnet)
left		unplaced: best single witness: location (wordnet)
leftovers		unplaced: best single witness: bottom (sumo)
legend		unplaced: best single witness: fiction (wordnet)
legislation		unplaced: best single witness: group (wordnet)
legislature		unplaced: best single witness: group (wordnet)
lemon		unplaced: best single witness: natural-object (wordnet)
length		unplaced: best single witness: magnitude (wordnet)
liability		unplaced: best single witness: condition (wordnet)
lid		unplaced: best single witness: tissue (wordnet)
lie		unplaced: best single witness: statement (wordnet)
life		unplaced: best single witness: ability (sumo)
life-style		unplaced: best single witness: fashion (wordnet)
light	rainbow	disputed: ['sumo'] vs ['opencyc']
limb	thigh	disputed: ['sumo'] vs ['wordnet']
limitation		unplaced: best single witness: idea (wordnet)
line		unplaced: best single witness: group (wordnet)
link		unplaced: best single witness: relation (wordnet)
link	relation	disputed: ['wordnet'] vs ['sumo']
list		unplaced: best single witness: information (wordnet)
literacy		unplaced: best single witness: skill (wordnet)
literature		unplaced: best single witness: ability (sumo)
load		unplaced: best single witness: object (wordnet)
load	object	disputed: ['wordnet'] vs ['sumo']
loan		unplaced: best single witness: relation (wordnet)
location		unplaced: best single witness: position (sumo)
location	origin	disputed: ['sumo'] vs ['wordnet']
location	place	disputed: ['yago'] vs ['wordnet']
location	position	disputed: ['sumo', 'yago'] vs ['wordnet']
log		unplaced: best single witness: substance (wordnet)
logic		unplaced: best single witness: discipline (wordnet)
loop		unplaced: best single witness: object (wordnet)
loss		unplaced: best single witness: relation (wordnet)
lot		unplaced: best single witness: quantity (wordnet)
lump		unplaced: best single witness: group (wordnet)
magnitude		unplaced: best single witness: goal (sumo)
mail		unplaced: best single witness: message (wordnet)
mail	message	disputed: ['wordnet'] vs ['sumo']
mainstream		unplaced: best single witness: belief (wordnet)
majority		unplaced: best single witness: number (wordnet)
manuscript		unplaced: best single witness: structure (sumo)
marble		unplaced: best single witness: relation (wordnet)
margin		unplaced: no witness places it
mark		unplaced: best single witness: assessment (wordnet)
marriage		unplaced: best single witness: regard (sumo)
marsh		unplaced: best single witness: object (wordnet)
matrix		unplaced: best single witness: group (wordnet)
maximum		unplaced: best single witness: quantity (wordnet)
maximum	quantity	disputed: ['wordnet'] vs ['sumo']
meal		unplaced: best single witness: food (wordnet)
meaning		unplaced: best single witness: goal (sumo)
means		unplaced: best single witness: event (wordnet)
measure		unplaced: best single witness: action (wordnet)
mechanism		unplaced: best single witness: revival (sumo)
medal		unplaced: best single witness: symbol (wordnet)
medicine		unplaced: best single witness: discipline (wordnet)
meeting	seminar	disputed: ['sumo'] vs ['wordnet']
member		unplaced: best single witness: organism (wordnet)
membership		unplaced: best single witness: group (wordnet)
memorandum	note	disputed: ['wordnet'] vs ['sumo']
memorial		unplaced: best single witness: credit (wordnet)
memory		unplaced: best single witness: knowledge (wordnet)
menu		unplaced: best single witness: list (wordnet)
merchant		unplaced: best single witness: organism (wordnet)
mercy		unplaced: best single witness: management (wordnet)
message	postcard	disputed: ['sumo'] vs ['wordnet']
method		unplaced: best single witness: knowledge (wordnet)
methodology		unplaced: best single witness: discipline (wordnet)
midnight		unplaced: best single witness: knowledge (wordnet)
mile		unplaced: best single witness: quantity (wordnet)
mind		unplaced: best single witness: knowledge (wordnet)
minimum		unplaced: best single witness: quantity (wordnet)
ministry		unplaced: best single witness: group (wordnet)
ministry	profession	disputed: ['wordnet'] vs ['sumo']
miracle		unplaced: best single witness: natural-event (wordnet)
miscarriage	situation	disputed: ['opencyc'] vs ['sumo']
misery		unplaced: best single witness: hardship (wordnet)
model		unplaced: best single witness: idea (wordnet)
module		unplaced: best single witness: knowledge (wordnet)
module	sensitivity	disputed: ['sumo'] vs ['wordnet']
mole		unplaced: best single witness: quantity (wordnet)
molecule		unplaced: best single witness: bottom (sumo)
momentum		unplaced: best single witness: degree (wordnet)
monarchy		unplaced: best single witness: group (wordnet)
money		unplaced: best single witness: standard (wordnet)
monster		unplaced: best single witness: imagination (wordnet)
moon		unplaced: best single witness: celestial-body (opencyc)
morsel		unplaced: best single witness: quantity (wordnet)
mortgage		unplaced: best single witness: stake (wordnet)
mother		unplaced: best single witness: organism (wordnet)
motivation		unplaced: best single witness: ability (sumo)
motorist		unplaced: best single witness: driver (wordnet)
mourning		unplaced: best single witness: emotion (wordnet)
mug		unplaced: best single witness: quantity (wordnet)
multimedia		unplaced: best single witness: event (wordnet)
muscle		unplaced: best single witness: organ (wordnet)
music-recording		unplaced: best single witness: bottom (sumo)
mutation		unplaced: best single witness: organism (wordnet)
myth		unplaced: best single witness: fiction (wordnet)
nail		unplaced: best single witness: bottom (sumo)
name	signature	disputed: ['sumo'] vs ['wordnet']
nationalist		unplaced: best single witness: organism (wordnet)
nationality		unplaced: best single witness: group (wordnet)
natural-object		unplaced: best single witness: object (wordnet)
nature		unplaced: best single witness: quality (wordnet)
need		unplaced: best single witness: condition (wordnet)
neglect		unplaced: best single witness: knowledge (wordnet)
negligence		unplaced: best single witness: event (wordnet)
neighbour		unplaced: best single witness: organism (wordnet)
nephew		unplaced: best single witness: organism (wordnet)
network		unplaced: best single witness: group (wordnet)
newcomer		unplaced: best single witness: organism (wordnet)
news		unplaced: best single witness: information (wordnet)
node		unplaced: no witness places it
nonsense		unplaced: best single witness: ability (sumo)
norm		unplaced: best single witness: standard (wordnet)
norm	requirement	disputed: ['sumo'] vs ['opencyc']
north		unplaced: best single witness: relation (wordnet)
notebook	product	disputed: ['yago'] vs ['sumo']
notebook	script	disputed: ['yago'] vs ['sumo']
notice		unplaced: best single witness: statement (wordnet)
notion		unplaced: best single witness: idea (wordnet)
number		unplaced: best single witness: magnitude (wordnet)
nut		unplaced: best single witness: seed (wordnet)
oak		unplaced: best single witness: substance (wordnet)
object		unplaced: best single witness: bottom (sumo)
object	origin	disputed: ['sumo'] vs ['wordnet']
object	piece	disputed: ['sumo'] vs ['wordnet']
object	position	disputed: ['sumo'] vs ['wordnet']
object	ribbon	disputed: ['sumo'] vs ['wordnet']
object	surface	disputed: ['sumo'] vs ['wordnet']
object	world	disputed: ['sumo'] vs ['wordnet']
obstacle		unplaced: best single witness: knowledge (wordnet)
obstacle	site	disputed: ['opencyc'] vs ['sumo']
occasion		unplaced: best single witness: natural-event (wordnet)
ocean		unplaced: best single witness: body-of-water (wordnet)
officer		unplaced: best single witness: organism (wordnet)
offspring		unplaced: best single witness: organism (wordnet)
omission		unplaced: best single witness: error (wordnet)
opera		unplaced: best single witness: music (wordnet)
operation		unplaced: best single witness: action (opencyc)
opinion		unplaced: best single witness: belief (wordnet)
opponent		unplaced: best single witness: organism (wordnet)
optimism		unplaced: best single witness: feeling (wordnet)
option		unplaced: best single witness: legal-document (wordnet)
orange		unplaced: best single witness: natural-object (wordnet)
organ		unplaced: best single witness: bottom (sumo)
origin		unplaced: best single witness: location (wordnet)
outlet		unplaced: best single witness: structure (wordnet)
outlet	supermarket	disputed: ['sumo'] vs ['wordnet']
outline		unplaced: best single witness: location (wordnet)
outside		unplaced: best single witness: location (wordnet)
overview		unplaced: best single witness: summary (wordnet)
overview	summary	disputed: ['wordnet'] vs ['sumo']
ownership		unplaced: best single witness: relation (wordnet)
pack		unplaced: best single witness: quantity (wordnet)
page		unplaced: best single witness: paper (wordnet)
palm		unplaced: best single witness: bottom (sumo)
paper		unplaced: best single witness: relation (wordnet)
paradox		unplaced: best single witness: statement (wordnet)
paragraph		unplaced: best single witness: structure (sumo)
pardon	situation	disputed: ['opencyc'] vs ['sumo']
parent		unplaced: best single witness: organism (wordnet)
parking		unplaced: best single witness: relation (wordnet)
parliament		unplaced: best single witness: legislature (wordnet)
part		unplaced: best single witness: relation (wordnet)
part	relation	disputed: ['wordnet'] vs ['sumo']
partner		unplaced: best single witness: organism (wordnet)
pass		unplaced: best single witness: action (wordnet)
passport		unplaced: best single witness: permission (wordnet)
password		unplaced: best single witness: indication (wordnet)
past		unplaced: no witness places it
pastel		unplaced: best single witness: ability (sumo)
patch		unplaced: best single witness: object (wordnet)
patent		unplaced: best single witness: document (wordnet)
path		unplaced: best single witness: action (wordnet)
patience		unplaced: best single witness: disposition (wordnet)
pattern		unplaced: best single witness: knowledge (wordnet)
peace		unplaced: no witness places it
peak		unplaced: best single witness: quantity (wordnet)
peanut		unplaced: best single witness: natural-object (wordnet)
pedestrian		unplaced: best single witness: organism (wordnet)
penny		unplaced: best single witness: quantity (wordnet)
pension		unplaced: best single witness: relation (wordnet)
percent		unplaced: best single witness: relation (wordnet)
perception		unplaced: best single witness: knowledge (wordnet)
permission		unplaced: best single witness: norm (opencyc)
personality		unplaced: best single witness: ability (sumo)
phenomenon		unplaced: best single witness: goal (sumo)
philosophy		unplaced: best single witness: belief (wordnet)
picture		unplaced: best single witness: object (wordnet)
pie		unplaced: best single witness: bottom (sumo)
piece		unplaced: best single witness: object (wordnet)
pier	platform	disputed: ['wordnet'] vs ['sumo']
pile		unplaced: best single witness: group (wordnet)
pit		unplaced: best single witness: object (wordnet)
pitch		unplaced: best single witness: ability (sumo)
pity		unplaced: best single witness: feeling (wordnet)
plaintiff		unplaced: best single witness: organism (wordnet)
plate		unplaced: best single witness: object (wordnet)
pleasure		unplaced: best single witness: feeling (wordnet)
podcast		unplaced: best single witness: product (yago)
poem		unplaced: best single witness: structure (sumo)
poetry		unplaced: best single witness: structure (sumo)
poison		unplaced: best single witness: bottom (sumo)
pole		unplaced: best single witness: object (wordnet)
poll		unplaced: best single witness: knowledge (wordnet)
pollution		unplaced: best single witness: condition (wordnet)
pool		unplaced: best single witness: object (wordnet)
population		unplaced: best single witness: group (wordnet)
portrait		unplaced: best single witness: statement (wordnet)
position		unplaced: best single witness: location (wordnet)
possession		unplaced: best single witness: activity (wordnet)
possibility		unplaced: best single witness: belief (wordnet)
postcard		unplaced: best single witness: correspondence (wordnet)
potato		unplaced: best single witness: food (wordnet)
potential		unplaced: best single witness: goal (sumo)
pound		unplaced: best single witness: quantity (wordnet)
powder		unplaced: best single witness: bottom (sumo)
practice		unplaced: best single witness: activity (wordnet)
praise		unplaced: best single witness: revival (sumo)
precedent		unplaced: best single witness: example (wordnet)
predecessor		unplaced: best single witness: organism (wordnet)
preference		unplaced: best single witness: feeling (wordnet)
prejudice		unplaced: best single witness: tendency (wordnet)
premium		unplaced: best single witness: relation (wordnet)
preoccupation		unplaced: best single witness: idea (wordnet)
prescription		unplaced: best single witness: instruction (wordnet)
presence		unplaced: best single witness: goal (sumo)
present		unplaced: best single witness: rest (sumo)
pressure		unplaced: best single witness: phenomenon (wordnet)
prestige		unplaced: best single witness: ability (sumo)
price		unplaced: best single witness: quality (wordnet)
pride		unplaced: best single witness: feeling (wordnet)
principle		unplaced: best single witness: idea (wordnet)
print		unplaced: best single witness: structure (sumo)
printer		unplaced: best single witness: organism (wordnet)
priority		unplaced: best single witness: ability (sumo)
privacy		unplaced: best single witness: disposition (wordnet)
prize		unplaced: best single witness: relation (wordnet)
probability		unplaced: best single witness: quantity (wordnet)
produce		unplaced: no witness places it
producer		unplaced: best single witness: organism (wordnet)
product	tile	disputed: ['sumo'] vs ['yago']
profession		unplaced: best single witness: group (wordnet)
professional	resident	disputed: ['sumo'] vs ['opencyc']
profile		unplaced: best single witness: chart (wordnet)
profit		unplaced: best single witness: relation (wordnet)
progress		unplaced: best single witness: action (wordnet)
projection		unplaced: best single witness: knowledge (wordnet)
proof		unplaced: best single witness: grounds (wordnet)
property		unplaced: best single witness: relation (wordnet)
proportion		unplaced: best single witness: relation (wordnet)
proposal		unplaced: best single witness: revival (sumo)
proposition		unplaced: best single witness: statement (wordnet)
proposition	statement	disputed: ['wordnet'] vs ['sumo']
provision		unplaced: best single witness: statement (wordnet)
public		unplaced: best single witness: group (wordnet)
pudding		unplaced: best single witness: food (wordnet)
pumpkin		unplaced: best single witness: organism (wordnet)
pupil		unplaced: best single witness: organism (wordnet)
puzzle		unplaced: best single witness: subject (wordnet)
quality		unplaced: best single witness: goal (sumo)
quantity		unplaced: best single witness: rest (sumo)
quarter		unplaced: best single witness: quantity (wordnet)
quest		unplaced: best single witness: knowledge (wordnet)
questionnaire		unplaced: best single witness: document (wordnet)
quota		unplaced: best single witness: quantity (wordnet)
quotation		unplaced: best single witness: statement (wordnet)
racism		unplaced: best single witness: prejudice (wordnet)
rage		unplaced: best single witness: emotion (wordnet)
raid		unplaced: best single witness: attack (wordnet)
railway		unplaced: best single witness: group (wordnet)
rank		unplaced: best single witness: group (wordnet)
rate		unplaced: best single witness: relation (wordnet)
reality		unplaced: best single witness: knowledge (wordnet)
reason		unplaced: best single witness: motivation (wordnet)
rebel		unplaced: best single witness: organism (wordnet)
reception		unplaced: best single witness: greeting (wordnet)
reception	situation	disputed: ['opencyc'] vs ['sumo']
recommendation		unplaced: best single witness: proposal (wordnet)
recording		unplaced: best single witness: bottom (sumo)
recovery		unplaced: best single witness: change (wordnet)
red		unplaced: no witness places it
redundancy		unplaced: best single witness: revival (sumo)
reference		unplaced: best single witness: statement (wordnet)
referral		unplaced: best single witness: organism (wordnet)
reform		unplaced: best single witness: action (wordnet)
regard		unplaced: best single witness: fact (wordnet)
regret		unplaced: best single witness: feeling (wordnet)
regulation		unplaced: best single witness: instruction (wordnet)
reign		unplaced: best single witness: period (wordnet)
relation		unplaced: best single witness: goal (sumo)
relation	relationship	disputed: ['sumo'] vs ['wordnet']
relation	relevance	disputed: ['sumo'] vs ['wordnet']
relation	slice	disputed: ['sumo'] vs ['wordnet']
relationship		unplaced: best single witness: relation (wordnet)
relaxation		unplaced: best single witness: revival (sumo)
relevance		unplaced: best single witness: relation (wordnet)
relief		unplaced: best single witness: pleasure (wordnet)
rent		unplaced: best single witness: relation (wordnet)
repetition		unplaced: best single witness: natural-event (wordnet)
reporter		unplaced: best single witness: organism (wordnet)
representative		unplaced: best single witness: organism (wordnet)
reproduction		unplaced: best single witness: revival (sumo)
republic		unplaced: best single witness: group (wordnet)
reputation		unplaced: best single witness: honour (wordnet)
request		unplaced: best single witness: bottom (sumo)
requirement		unplaced: best single witness: duty (wordnet)
reserve		unplaced: best single witness: trait (wordnet)
resignation		unplaced: best single witness: feeling (wordnet)
resolution		unplaced: best single witness: document (wordnet)
resource		unplaced: best single witness: relation (wordnet)
restraint		unplaced: best single witness: activity (wordnet)
retailer		unplaced: best single witness: individual (wordnet)
retirement		unplaced: no witness places it
return		unplaced: best single witness: legal-document (wordnet)
review		unplaced: best single witness: assessment (wordnet)
reward		unplaced: best single witness: natural-event (wordnet)
rhetoric		unplaced: best single witness: ability (sumo)
rhythm		unplaced: best single witness: ability (sumo)
rib	tissue	disputed: ['opencyc'] vs ['sumo']
ribbon		unplaced: best single witness: object (wordnet)
rice		unplaced: best single witness: food (wordnet)
rider		unplaced: best single witness: organism (wordnet)
ridge		unplaced: best single witness: object (wordnet)
right		unplaced: best single witness: idea (wordnet)
right-wing		unplaced: best single witness: group (wordnet)
ring		unplaced: best single witness: sound (wordnet)
risk		unplaced: best single witness: ability (sumo)
rock		unplaced: best single witness: object (wordnet)
role		unplaced: best single witness: activity (wordnet)
round		unplaced: best single witness: object (wordnet)
row		unplaced: best single witness: group (wordnet)
royalty		unplaced: best single witness: relation (wordnet)
rugby		unplaced: best single witness: recreation (wordnet)
ruin		unplaced: best single witness: condition (wordnet)
rule		unplaced: best single witness: idea (wordnet)
runner		unplaced: best single witness: individual (wordnet)
salad		unplaced: best single witness: food (wordnet)
salon		unplaced: best single witness: structure (wordnet)
sample		unplaced: best single witness: example (wordnet)
sand		unplaced: best single witness: relation (wordnet)
satisfaction		unplaced: best single witness: feeling (wordnet)
sausage		unplaced: best single witness: meat (wordnet)
scale		unplaced: best single witness: standard (wordnet)
scandal		unplaced: best single witness: event (wordnet)
scenario		unplaced: best single witness: script (wordnet)
scenario	script	disputed: ['wordnet'] vs ['sumo']
scene		unplaced: best single witness: location (wordnet)
scholar		unplaced: best single witness: organism (wordnet)
scholarship		unplaced: best single witness: prize (wordnet)
script		unplaced: best single witness: structure (sumo)
seal		unplaced: best single witness: object (wordnet)
seat		unplaced: best single witness: location (wordnet)
secret		unplaced: best single witness: information (wordnet)
section		unplaced: best single witness: music (wordnet)
sector		unplaced: no witness places it
self		unplaced: best single witness: condition (wordnet)
seller		unplaced: best single witness: organism (wordnet)
senior		unplaced: best single witness: organism (wordnet)
sensation		unplaced: best single witness: knowledge (wordnet)
sense		unplaced: best single witness: knowledge (wordnet)
sensitivity		unplaced: best single witness: module (wordnet)
sentence		unplaced: best single witness: group (wordnet)
separation		unplaced: best single witness: revival (sumo)
sequence		unplaced: best single witness: group (wordnet)
series		unplaced: best single witness: group (wordnet)
servant		unplaced: best single witness: organism (wordnet)
server		unplaced: best single witness: individual (wordnet)
service		unplaced: best single witness: activity (wordnet)
session		unplaced: best single witness: revival (sumo)
set		unplaced: best single witness: group (wordnet)
sex		unplaced: best single witness: revival (sumo)
shade		unplaced: best single witness: dark (wordnet)
shadow		unplaced: best single witness: dark (wordnet)
shaft		unplaced: best single witness: indication (wordnet)
shame		unplaced: best single witness: feeling (wordnet)
share		unplaced: best single witness: relation (wordnet)
shareholder		unplaced: best single witness: organism (wordnet)
sheet		unplaced: best single witness: location (wordnet)
shell		unplaced: best single witness: object (wordnet)
shock		unplaced: best single witness: feeling (wordnet)
shop	supermarket	disputed: ['sumo'] vs ['yago']
short		unplaced: best single witness: location (wordnet)
short	tract	disputed: ['wordnet'] vs ['sumo']
shoulder		unplaced: best single witness: bottom (sumo)
sign		unplaced: best single witness: indication (wordnet)
situation		unplaced: best single witness: ability (sumo)
situation	violation	disputed: ['sumo'] vs ['opencyc']
situation	welcome	disputed: ['sumo'] vs ['wordnet']
size		unplaced: best single witness: magnitude (wordnet)
ski		unplaced: best single witness: object (wordnet)
sky		unplaced: best single witness: bottom (sumo)
slab		unplaced: best single witness: object (wordnet)
sleep		unplaced: best single witness: condition (wordnet)
slide		unplaced: best single witness: object (wordnet)
slime		unplaced: best single witness: bottom (sumo)
slip		unplaced: best single witness: error (wordnet)
slogan		unplaced: best single witness: structure (sumo)
slot		unplaced: best single witness: relation (wordnet)
smile		unplaced: best single witness: revival (sumo)
snow		unplaced: best single witness: weather (wordnet)
soap		unplaced: best single witness: substance (wordnet)
soccer		unplaced: best single witness: recreation (wordnet)
society		unplaced: best single witness: group (wordnet)
software		unplaced: best single witness: regard (sumo)
software-agent		unplaced: best single witness: formula (opencyc)
software-library		unplaced: best single witness: software (claude)
sound		unplaced: best single witness: revival (sumo)
south		unplaced: best single witness: relation (wordnet)
space		unplaced: best single witness: bottom (sumo)
speaker		unplaced: best single witness: organism (wordnet)
species		unplaced: best single witness: group (wordnet)
specimen		unplaced: best single witness: example (wordnet)
spectrum		unplaced: best single witness: group (wordnet)
speed		unplaced: best single witness: relation (wordnet)
spell		unplaced: best single witness: condition (wordnet)
spine		unplaced: best single witness: bottom (sumo)
spirit		unplaced: best single witness: organism (opencyc)
spokesman		unplaced: best single witness: advocate (wordnet)
spreadsheet		unplaced: best single witness: software (wordnet)
square		unplaced: no witness places it
stake		unplaced: best single witness: relation (wordnet)
stamp		unplaced: best single witness: ability (sumo)
standard		unplaced: best single witness: quantity (wordnet)
start		unplaced: best single witness: natural-event (wordnet)
statement		unplaced: best single witness: bottom (sumo)
statement	thesis	disputed: ['sumo'] vs ['wordnet']
steward		unplaced: best single witness: organism (wordnet)
stimulation		unplaced: best single witness: action (wordnet)
stock		unplaced: best single witness: relation (wordnet)
stop		unplaced: best single witness: natural-event (wordnet)
storm		unplaced: best single witness: phenomenon (wordnet)
story		unplaced: best single witness: revival (sumo)
strawberry		unplaced: best single witness: produce (wordnet)
strength		unplaced: best single witness: ability (sumo)
stress		unplaced: best single witness: emotion (opencyc)
