# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
335	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	petroleum bitumen
336	radioactive elements and isotopes and compounds; alloys, dispersions, ceramic pr	radioactive elements
336	radioactive elements and isotopes and compounds; alloys, dispersions, ceramic pr	ceramic products
336	radioactive elements and isotopes and compounds; alloys, dispersions, ceramic pr	radioactive residues
337	fuel elements (cartridges), for or of nuclear reactors	fuel elements
341	basic organic chemicals	basic organic chemicals
342	basic inorganic chemicals n.e.c.	basic inorganic chemicals
343	tanning or dyeing extracts; tannins and their derivatives; colouring matter n.e.	dyeing extracts
343	tanning or dyeing extracts; tannins and their derivatives; colouring matter n.e.	their derivatives
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	activated natural mineral products
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	terpenic oils produced
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	crude dipentene
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	crude para-cymene
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	pine oil
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	resin acids
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	rosin spirit
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	rosin oils
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	rum gums
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood tar oils
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood creosote
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood naphtha
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	vegetable pitch
344	activated natural mineral products; animal black; tall oil; terpenic oils produc	brewers' pitch
345	miscellaneous basic chemical products	miscellaneous basic chemical products
348	synthetic rubber and factice derived from oils, and mixtures thereof with natura	factice
351	paints and varnishes and related products; artists' colours; ink	related products
351	paints and varnishes and related products; artists' colours; ink	artists' colours
352	pharmaceutical products	pharmaceutical products
353	soap, cleaning preparations, perfumes and toilet preparations	cleaning preparations
353	soap, cleaning preparations, perfumes and toilet preparations	toilet preparations
354	chemical products n.e.c.	chemical products
355	man-made fibres	man-made fibres
361	rubber tyres and tubes	rubber tyres
363	semi-manufactures of plastics	semi-manufactures
364	packaging products of plastics	packaging products
371	glass and glass products	glass products
372	non-structural ceramic ware	non-structural ceramic ware
373	refractory products and structural non-refractory clay products	refractory products
373	refractory products and structural non-refractory clay products	structural non-refractory clay products
376	monumental or building stone and articles thereof	monumental
376	monumental or building stone and articles thereof	building stone
382	jewellery and related articles	related articles
387	prefabricated buildings	prefabricated buildings
392	non-metal wastes or scraps	non-metal wastes
393	metal wastes or scraps	metal wastes
413	basic precious metals and metals clad with precious metals	basic precious metals
413	basic precious metals and metals clad with precious metals	metals clad
414	copper, nickel, aluminium, alumina, lead, zinc and tin, unwrought	unwrought
415	semi-finished products of copper, nickel, aluminium, lead, zinc and tin or their	semi-finished products
416	other non-ferrous metals and articles thereof (including waste and scrap of some	cermets
421	structural metal products and parts thereof	structural metal products
423	steam generators, (except central heating boilers) and parts thereof	steam generators
432	pumps, compressors, hydraulic and pneumatic power engines, and valves, and parts	hydraulic
432	pumps, compressors, hydraulic and pneumatic power engines, and valves, and parts	pneumatic power engines
433	bearings, gears, gearing and driving elements, and parts thereof	driving elements
434	ovens and furnace burners and parts thereof	furnace burners
435	lifting and handling equipment and parts thereof	lifting
441	agricultural or forestry machinery and parts thereof	agricultural
448	domestic appliances and parts thereof	domestic appliances
462	electricity distribution and control apparatus, and parts thereof	electricity distribution
463	insulated wire and cable; optical fibre cables	insulated wire
463	insulated wire and cable; optical fibre cables	optical fibre cables
465	electric filament or discharge lamps; arc lamps; lighting equipment; parts there	electric filament
471	electronic valves and tubes; electronic components; parts thereof	electronic valves
471	electronic valves and tubes; electronic components; parts thereof	electronic components
473	radio broadcast and television receivers; apparatus for sound and video recordin	etc
475	disks, tapes, solid-state non-volatile storage devices and other media, not reco	solid-state non-volatile storage devices
478	packaged software	packaged software
481	medical and surgical equipment and orthopaedic appliances	orthopaedic appliances
491	motor vehicles, trailers and semi-trailers; parts and accessories thereof	semi-trailers
492	bodies (coachwork) for motor vehicles; trailers and semi-trailers; parts and acc	semi-trailers
494	pleasure and sporting boats	sporting boats
495	railway and tramway locomotives and rolling stock, and parts thereof	tramway locomotives
532	civil engineering works	civil engineering works
0121	leafy or stem vegetables	leafy
