# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
3554	artificial filament tow and staple fibres, not carded or combed	artificial filament tow
3555	artificial filament yarn (except sewing thread and multiple or cabled yarn), not	artificial filament yarn
3556	artificial monofilament and strip	artificial monofilament
3612	retreaded pneumatic tyres, of rubber	retreaded pneumatic tyres
3621	reclaimed rubber	reclaimed rubber
3622	unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; 	unvulcanized compounded rubber
3622	unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; 	unvulcanized rubber
3622	unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; 	profile shapes
3624	conveyor or transmission belts or belting, of vulcanized rubber	transmission belts
3625	rubberized textile fabrics, except tyre cord fabric	rubberized textile fabrics
3631	monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks a	monofilament
3691	floor coverings of plastics, in rolls or in the form of tiles; wall or ceiling c	ceiling coverings
3692	self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of 	self-adhesive plates
3693	baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sani	wash-basins
3693	baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sani	lavatory pans
3693	baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sani	flushing cisterns
3695	builders' ware of plastics n.e.c.	builders' ware
3697	safety headgear; other headgear of rubber or plastics	safety headgear
3698	electrical insulating fittings of plastics	electrical insulating fittings
3711	unworked glass, flat glass and pressed or moulded glass for construction; glass 	unworked glass
3711	unworked glass, flat glass and pressed or moulded glass for construction; glass 	flat glass
3711	unworked glass, flat glass and pressed or moulded glass for construction; glass 	pressed
3711	unworked glass, flat glass and pressed or moulded glass for construction; glass 	moulded glass
3711	unworked glass, flat glass and pressed or moulded glass for construction; glass 	glass mirrors
3721	ceramic sinks, baths, water closet pans, flushing cisterns and similar sanitary 	ceramic sinks
3721	ceramic sinks, baths, water closet pans, flushing cisterns and similar sanitary 	water closet pans
3721	ceramic sinks, baths, water closet pans, flushing cisterns and similar sanitary 	flushing cisterns
3722	ceramic household and ornamental articles	ceramic household
3722	ceramic household and ornamental articles	ornamental articles
3732	refractory bricks, blocks, tiles and similar refractory ceramic constructional g	refractory bricks
3733	refractory cements, mortars, concretes and similar compositions n.e.c.	refractory cements
3734	unfired refractory products; other refractory ceramic goods	unfired refractory products
3735	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	non-refractory ceramic building bricks
3735	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	flooring blocks
3735	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	filler tiles
3735	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	chimney-pots
3735	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	chimney liners
3736	non-refractory ceramic pipes, conduits, guttering and pipe fittings	non-refractory ceramic pipes
3736	non-refractory ceramic pipes, conduits, guttering and pipe fittings	guttering
3737	ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the lik	ceramic flags
3737	ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the lik	wall tiles
3737	ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the lik	ceramic mosaic cubes
3742	quicklime, slaked lime and hydraulic lime	hydraulic lime
3743	cement clinkers	cement clinkers
3744	portland cement, aluminous cement, slag cement and similar hydraulic cements, ex	aluminous cement
3744	portland cement, aluminous cement, slag cement and similar hydraulic cements, ex	slag cement
3745	calcinated or agglomerated dolomite	calcinated
3745	calcinated or agglomerated dolomite	agglomerated dolomite
3751	non-refractory mortars and concretes	non-refractory mortars
3755	prefabricated structural components for building or civil engineering, of cement	prefabricated structural components
3761	marble, travertine and alabaster, worked, and articles thereof (except setts, cu	travertine
3761	marble, travertine and alabaster, worked, and articles thereof (except setts, cu	artificially coloured granules
3769	other worked monumental or building stone and articles thereof; other artificial	building stone
3791	millstones, grindstones, grinding wheels and the like, without frameworks, for w	without frameworks
3791	millstones, grindstones, grinding wheels and the like, without frameworks, for w	artificial abrasive powder
3792	fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of	fabricated asbestos fibres
3794	bituminous mixtures based on natural and artificial stone materials and bitumen,	bituminous mixtures based
3795	artificial graphite; colloidal or semi-colloidal graphite; preparations based on	artificial graphite
3795	artificial graphite; colloidal or semi-colloidal graphite; preparations based on	colloidal
3795	artificial graphite; colloidal or semi-colloidal graphite; preparations based on	semi-colloidal graphite
3795	artificial graphite; colloidal or semi-colloidal graphite; preparations based on	preparations based
3796	artificial corundum	artificial corundum
3799	non-metallic mineral products n.e.c. (including mineral wool, expanded mineral m	non-metallic mineral products
3815	mattress supports; mattresses, fitted with springs or stuffed or internally fitt	mattress supports
3815	mattress supports; mattresses, fitted with springs or stuffed or internally fitt	fitted
3822	cultured pearls, precious or semi-precious stones, and synthetic or reconstructe	cultured pearls
3822	cultured pearls, precious or semi-precious stones, and synthetic or reconstructe	precious
3822	cultured pearls, precious or semi-precious stones, and synthetic or reconstructe	semi-precious stones
3823	industrial diamonds, worked; dust and powder of natural or synthetic precious or	industrial diamonds
3833	wind musical instruments (including pipe organs, accordians and brass-wind instr	wind musical instruments
3835	other musical instruments (including percussion instruments, musical boxes and f	decoy calls
3835	other musical instruments (including percussion instruments, musical boxes and f	call horns
3836	parts and accessories of musical instruments; metronomes, tuning forks and pitch	accessories
3841	snow-skis and other snow-ski equipment; ice-skates and roller-skates	snow-skis
3842	water-skis, surf-boards, sailboards and other water-sport equipment	surf-boards
3842	water-skis, surf-boards, sailboards and other water-sport equipment	sailboards
3843	gymnasium or athletics articles and equipment	athletics articles
3845	fishing rods and other line fishing tackle; fish landing nets, butterfly nets an	fish landing nets
3845	fishing rods and other line fishing tackle; fish landing nets, butterfly nets an	butterfly nets
3845	fishing rods and other line fishing tackle; fish landing nets, butterfly nets an	decoy birds
3845	fishing rods and other line fishing tackle; fish landing nets, butterfly nets an	shooting requisites
3851	dolls' carriages; wheeled toys designed to be ridden by children	dolls' carriages
3851	dolls' carriages; wheeled toys designed to be ridden by children	wheeled toys designed
3852	dolls representing human beings; toys representing animals or non-human creature	dolls representing human beings
3852	dolls representing human beings; toys representing animals or non-human creature	toys representing animals
3852	dolls representing human beings; toys representing animals or non-human creature	non-human creatures
3853	parts and accessories of dolls representing human beings	accessories
3854	toy electric trains and tracks, signals and other accessories therefor; reduced-	toy electric trains
3854	toy electric trains and tracks, signals and other accessories therefor; reduced-	reduced-size model assembly kits
3854	toy electric trains and tracks, signals and other accessories therefor; reduced-	constructional toys
3870	prefabricated buildings	prefabricated buildings
3891	pens, pencils, stamps, typewriter or similar ribbons, ink-pads and similar artic	ink-pads
3892	umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops, butt	sun-umbrellas
3892	umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops, butt	seat-sticks
3892	umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops, butt	press-fasteners
3892	umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops, butt	button blanks
3895	motion picture film, exposed and developed, whether or not incorporating sound t	motion picture film
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	original engravings
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	original sculptures
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	stamp-postmarks
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	first-day covers
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	postal stationery
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	collectors' pieces
3897	human hair; wool or other animal hair or other textile materials; wigs, false be	human hair
3897	human hair; wool or other animal hair or other textile materials; wigs, false be	false beards
3912	bran and other residues from the working of cereals or legumes; vegetable materi	vegetable materials
3912	bran and other residues from the working of cereals or legumes; vegetable materi	vegetable waste
3912	bran and other residues from the working of cereals or legumes; vegetable materi	vegetable residues
3914	beet-pulp, bagasse and other waste of sugar manufacture	beet-pulp
3915	cocoa shells, husks, skins and other cocoa waste; coffee husks and skins	cocoa shells
3915	cocoa shells, husks, skins and other cocoa waste; coffee husks and skins	coffee husks
3916	brewing or distilling dregs and waste	distilling dregs
3917	wine lees; argol	wine lees
3917	wine lees; argol	argol
3918	tobacco refuse	tobacco refuse
3921	miscellaneous textile wastes	miscellaneous textile wastes
3923	residual lyes from the manufacture of wood pulp, including lignin sulphonates, b	residual lyes
3926	used pneumatic tyres of rubber	used pneumatic tyres
3928	sawdust and wood waste and scrap	wood waste
3934	ferrous waste and scrap	ferrous waste
3935	remelting scrap ingots of iron or steel	remelting scrap ingots
3938	waste and scrap of primary cells, primary batteries and electric accumulators; s	spent primary cells
3991	municipal waste	municipal waste
3992	sewage sludge	sewage sludge
3993	clinical waste, including pharmaceutical waste	clinical waste
3994	waste organic solvents	waste organic solvents
4111	primary materials of the iron and steel industry	primary materials
4112	crude steel	crude steel
4121	flat-rolled products of steel, not further worked than hot-rolled	flat-rolled products
4122	flat-rolled products of steel, not further worked than cold-rolled	flat-rolled products
4123	flat-rolled products of steel, further worked than hot-rolled or cold-rolled; fl	flat-rolled products
4124	bars and rods, hot-rolled, of iron or steel	hot-rolled
4125	angles, shapes and sections, not further worked than hot-rolled, hot-drawn or ex	welded angles
4126	bars, rods, angles, shapes and sections, cold-processed or further worked, of ir	cold-processed
4126	bars, rods, angles, shapes and sections, cold-processed or further worked, of ir	further worked
4126	bars, rods, angles, shapes and sections, cold-processed or further worked, of ir	hot-rolled
4126	bars, rods, angles, shapes and sections, cold-processed or further worked, of ir	hot-drawn
4126	bars, rods, angles, shapes and sections, cold-processed or further worked, of ir	steel wire
4127	bars and rods of high-speed steel and silico-manganese steel; hollow drill bars 	hollow drill bars
4128	tubes, pipes and hollow profiles, of steel	hollow profiles
4129	tubes, pipes and hollow profiles of cast-iron and cast-steel and related fitting	hollow profiles
4131	silver (including silver plated with gold or platinum), unwrought or in semi-man	unwrought or
4132	gold (including gold plated with platinum), unwrought or in semi-manufactured fo	unwrought or
4133	platinum, unwrought or in semi-manufactured forms, or in powder form	unwrought or
4135	base metals clad with silver, and base metals, silver or gold clad with platinum	base metals clad
4141	copper, unwrought; copper mattes; cement copper	unwrought
4141	copper, unwrought; copper mattes; cement copper	copper mattes
4141	copper, unwrought; copper mattes; cement copper	cement copper
4142	nickel, unwrought; intermediate products of nickel metallurgy	unwrought
4142	nickel, unwrought; intermediate products of nickel metallurgy	intermediate products
4143	aluminium, unwrought; alumina	unwrought
4144	lead, zinc and tin, unwrought	unwrought
4151	semi-finished products of copper or copper alloys	semi-finished products
4152	semi-finished products of nickel or nickel alloys	semi-finished products
4153	semi-finished products of aluminium or aluminium alloys	semi-finished products
4154	semi-finished products of lead, zinc and tin or their alloys	semi-finished products
4160	other non-ferrous metals and articles thereof (including waste and scrap of some	cermets
4211	bridges, bridge sections, towers and lattice masts, of iron or steel	bridge sections
4211	bridges, bridge sections, towers and lattice masts, of iron or steel	lattice masts
4212	doors, windows and their frames and thresholds for doors, of iron, steel or alum	their frames
4232	steam or other vapour generating boilers (other than central heating hot water b	super-heated water boilers
4233	auxiliary plant for use with boilers; condensers for steam or other vapour power	auxiliary plant
4291	domestic metal products	domestic metal products
4292	hand tools (including hand tools of a kind used in agriculture, horticulture or 	interchangeable tools
4294	metal fasteners, springs and miscellaneous articles made from metal wire	metal fasteners
4294	metal fasteners, springs and miscellaneous articles made from metal wire	miscellaneous articles
4311	internal combustion piston engines, other than for motor vehicles and aircraft	internal combustion piston engines
4312	internal combustion engines of a kind used for motor vehicles	internal combustion engines
4313	motors and engines for aircraft and spacecraft; aircraft launching gear, deck-ar	aircraft launching gear
4313	motors and engines for aircraft and spacecraft; aircraft launching gear, deck-ar	deck-arrestor
4314	steam turbines and other vapour turbines; hydraulic turbines and water wheels; g	hydraulic turbines
4321	hydraulic and pneumatic power engines and motors	hydraulic
4321	hydraulic and pneumatic power engines and motors	pneumatic power engines
4322	pumps for liquids; liquid elevators	liquid elevators
4332	transmission shafts and cranks; bearing housings and plain shaft bearings; gears	bearing housings
4332	transmission shafts and cranks; bearing housings and plain shaft bearings; gears	plain shaft bearings
4332	transmission shafts and cranks; bearing housings and plain shaft bearings; gears	roller screws
4332	transmission shafts and cranks; bearing housings and plain shaft bearings; gears	shaft couplings
4332	transmission shafts and cranks; bearing housings and plain shaft bearings; gears	articulated link chain
4341	furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanica	furnace burners
4341	furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanica	mechanical stokers
4342	industrial or laboratory furnaces and ovens, except non-electric bakery ovens; o	industrial
4342	industrial or laboratory furnaces and ovens, except non-electric bakery ovens; o	laboratory furnaces
4342	industrial or laboratory furnaces and ovens, except non-electric bakery ovens; o	laboratory induction
4351	pulley tackle and hoists other than skip hoists; winches and capstans; jacks	pulley tackle
4352	derricks; cranes; mobile lifting frames, straddle carriers and works trucks fitt	mobile lifting frames
4352	derricks; cranes; mobile lifting frames, straddle carriers and works trucks fitt	straddle carriers
4352	derricks; cranes; mobile lifting frames, straddle carriers and works trucks fitt	works trucks fitted
4353	fork-lift trucks; other works trucks whether or not fitted with lifting or handl	fork-lift trucks
4354	lifts, skip hoists, escalators and moving walkways	skip hoists
4354	lifts, skip hoists, escalators and moving walkways	moving walkways
4355	pneumatic and other continuous action elevators and conveyors, for goods or mate	pneumatic
4391	gas generators; distilling plant; air-conditioning and refrigerating equipment; 	gas generators
4391	gas generators; distilling plant; air-conditioning and refrigerating equipment; 	distilling plant
4413	milking and dairy machines	milking
4413	milking and dairy machines	dairy machines
4414	agricultural tractors	agricultural tractors
4415	mechanical appliances for projecting, dispersing or spraying liquids or powders 	mechanical appliances
4416	self-loading or self-unloading trailers and semi-trailers for agricultural purpo	self-loading
4416	self-loading or self-unloading trailers and semi-trailers for agricultural purpo	self-unloading trailers
4416	self-loading or self-unloading trailers and semi-trailers for agricultural purpo	semi-trailers
4424	machinery and apparatus for soldering, brazing or welding; gas-operated surface 	gas-operated surface tempering machines
4424	machinery and apparatus for soldering, brazing or welding; gas-operated surface 	electric machines
4425	tool holders; parts and accessories for the goods of classes 4421 to 4424	tool holders
4425	tool holders; parts and accessories for the goods of classes 4421 to 4424	accessories
4431	converters, ladles, ingot moulds and casting machines, of a kind used in metallu	ingot moulds
4431	converters, ladles, ingot moulds and casting machines, of a kind used in metallu	casting machines
4431	converters, ladles, ingot moulds and casting machines, of a kind used in metallu	metal-rolling mills
4441	continuous-action elevators and conveyors, for goods or materials, specially des	continuous-action elevators
4441	continuous-action elevators and conveyors, for goods or materials, specially des	rock cutters
4442	other moving, grading, levelling, scraping, excavating, tamping, compacting or e	levelling
4442	other moving, grading, levelling, scraping, excavating, tamping, compacting or e	excavating
4442	other moving, grading, levelling, scraping, excavating, tamping, compacting or e	tamping
4442	other moving, grading, levelling, scraping, excavating, tamping, compacting or e	compacting
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	pile-extractors
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	snow-ploughs
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	levelling
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	excavating
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	tamping
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	compacting
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	extracting
4471	tanks and other armoured fighting vehicles, motorized, and parts thereof	motorized
4472	military weapons, other than revolvers, pistols and swords and the like	military weapons
4475	swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabb	sheaths therefor
4481	domestic electric appliances; non-electric refrigerators and clothes drying mach	domestic electric appliances
4481	domestic electric appliances; non-electric refrigerators and clothes drying mach	non-electric refrigerators
4481	domestic electric appliances; non-electric refrigerators and clothes drying mach	clothes drying machines
4482	domestic cooking and heating equipment, non-electric	domestic cooking
4482	domestic cooking and heating equipment, non-electric	non-electric
4511	typewriters and word-processing machines	word-processing machines
4513	electronic calculators and pocket-size data recording, reproducing and displayin	electronic calculators
4513	electronic calculators and pocket-size data recording, reproducing and displayin	pocket-size data recording
4513	electronic calculators and pocket-size data recording, reproducing and displayin	reproducing
4513	electronic calculators and pocket-size data recording, reproducing and displayin	displaying machines
4514	accounting machines, cash registers, automated teller machines, postage-franking	accounting machines
4514	accounting machines, cash registers, automated teller machines, postage-franking	postage-franking machines
4514	accounting machines, cash registers, automated teller machines, postage-franking	ticket-issuing machines
4514	accounting machines, cash registers, automated teller machines, postage-franking	incorporating a calculating device
4517	parts and accessories for the goods of subclasses 45110 and 45130 (except covers	accessories
4518	parts and accessories for the goods of subclasses 45141, 45142 and 45160 (except	accessories
4522	portable automatic data processing machines weighing not more than 10 kg, such a	portable automatic data processing machines
4523	automatic data processing machines, comprising in the same housing at least a ce	automatic data processing machines
4523	automatic data processing machines, comprising in the same housing at least a ce	comprising
4524	automatic data processing machines presented in the form of systems	automatic data processing machines presented
4526	input or output units, whether or not containing storage units in the same housi	output units
4527	storage units	storage units
4529	parts and accessories of computing machines	accessories
4612	electrical transformers, static converters and inductors	electrical transformers
4612	electrical transformers, static converters and inductors	static converters
4621	electricity distribution or control apparatus	electricity distribution
4631	insulated winding wire	insulated winding wire
4633	ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft 	ignition wiring sets
4636	optical fibre cables made up of individually sheathed fibres	optical fibre cables
4641	primary cells and primary batteries	primary batteries
4642	electric accumulators	electric accumulators
4651	electric filament or discharge lamps; arc lamps	electric filament
4691	electrical ignition or starting equipment of a kind used for internal combustion	electrical ignition
4691	electrical ignition or starting equipment of a kind used for internal combustion	cut-outs
4691	electrical ignition or starting equipment of a kind used for internal combustion	electrical lighting
4692	electric sound or visual signalling apparatus, except for cycles or motor vehicl	electric sound
4694	electrical insulators, except of glass or ceramics; insulating fittings for elec	electrical insulators
4694	electrical insulators, except of glass or ceramics; insulating fittings for elec	insulating fittings
4694	electrical insulators, except of glass or ceramics; insulating fittings for elec	electrical conduit tubing
4694	electrical insulators, except of glass or ceramics; insulating fittings for elec	joints therefor
4695	carbon electrodes, carbon brushes, lamp carbons, battery carbons and other artic	carbon electrodes
4695	carbon electrodes, carbon brushes, lamp carbons, battery carbons and other artic	carbon brushes
4695	carbon electrodes, carbon brushes, lamp carbons, battery carbons and other artic	lamp carbons
4695	carbon electrodes, carbon brushes, lamp carbons, battery carbons and other artic	battery carbons
4696	parts for the goods of subclasses 46910, 46921 and 46929; electrical parts n.e.c	electrical parts
4711	electrical capacitors	electrical capacitors
4712	electrical resistors (except heating resistors)	electrical resistors
4714	thermionic, cold cathode or photo-cathode valves and tubes (including cathode ra	thermionic
4715	diodes, transistors and similar semi-conductor devices; photosensitive semi-cond	photosensitive semi-conductor devices
4715	diodes, transistors and similar semi-conductor devices; photosensitive semi-cond	light emitting diodes
4715	diodes, transistors and similar semi-conductor devices; photosensitive semi-cond	mounted piezo-electric crystals
4716	electronic integrated circuits	electronic integrated circuits
4721	transmission apparatus for radio-broadcasting or television, whether or not inco	video camera recorders
4733	microphones and stands therefor; loudspeakers; headphones, earphones and combine	stands therefor
4733	microphones and stands therefor; loudspeakers; headphones, earphones and combine	combined microphone/speaker sets
4733	microphones and stands therefor; loudspeakers; headphones, earphones and combine	audio-frequency electric amplifiers
4733	microphones and stands therefor; loudspeakers; headphones, earphones and combine	electric sound amplifier sets
4754	optical media, not recorded	optical media
4755	solid-state non-volatile storage devices	solid-state non-volatile storage devices
4761	musical audio disks, tapes or other physical media	musical audio disks
4782	application software, packaged	application software
4811	apparatus based on the use of x-rays or of alpha, beta or gamma radiations	apparatus based
4814	medical, surgical or laboratory sterilizers	surgical
4814	medical, surgical or laboratory sterilizers	laboratory sterilizers
4816	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	mechano-therapy appliances
4816	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	ozone therapy
4816	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	oxygen therapy
4816	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	aerosol therapy
4816	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	gas masks
4817	orthopaedic appliances; splints and other fracture appliances; artificial parts 	orthopaedic appliances
4817	orthopaedic appliances; splints and other fracture appliances; artificial parts 	artificial parts
4817	orthopaedic appliances; splints and other fracture appliances; artificial parts 	carried
4818	medical, surgical, dental or veterinary furniture; barbers' chairs and similar c	surgical
4818	medical, surgical, dental or veterinary furniture; barbers' chairs and similar c	veterinary furniture
4818	medical, surgical, dental or veterinary furniture; barbers' chairs and similar c	barbers' chairs
4821	navigational, meteorological, geophysical and similar instruments and appliances	navigational
4821	navigational, meteorological, geophysical and similar instruments and appliances	meteorological
4821	navigational, meteorological, geophysical and similar instruments and appliances	geophysical
4823	precision balances; instruments for drawing, calculating, measuring length, etc.	precision balances
4826	other measuring, checking and testing instruments and appliances	checking
4826	other measuring, checking and testing instruments and appliances	testing instruments
4828	parts and accessories for the goods of classes 4821 and 4823 to 4826	accessories
4834	photographic plates and film and instant print film, sensitized, unexposed; chem	instant print film
4834	photographic plates and film and instant print film, sensitized, unexposed; chem	sensitized
4834	photographic plates and film and instant print film, sensitized, unexposed; chem	chemical products
4844	watch or clock movements	clock movements
4849	other watch or clock parts (including jewels, cases and metal watch bands)	clock parts
4912	parts and accessories n.e.c. of motor vehicles	accessories
4922	trailers and semi-trailers; containers	semi-trailers
4931	commercial ships and warships	commercial ships
4932	floating or submersible drilling or production platforms	submersible drilling
4932	floating or submersible drilling or production platforms	production platforms
4951	rail locomotives and locomotive tenders	rail locomotives
4951	rail locomotives and locomotive tenders	locomotive tenders
4952	self-propelled railway or tramway coaches, vans and trucks (except maintenance o	self-propelled railway
4952	self-propelled railway or tramway coaches, vans and trucks (except maintenance o	tramway coaches
4953	other rolling stock; railway or tramway track fixtures and fittings; mechanical 	tramway track fixtures
4954	parts of railway or tramway locomotives or rolling stock; railway or tramway tra	tramway track fixtures
4954	parts of railway or tramway locomotives or rolling stock; railway or tramway tra	mechanical signalling
4963	spacecraft and spacecraft launch vehicles	spacecraft launch vehicles
4991	motorcycles and side-cars	side-cars
4992	bicycles and invalid carriages	invalid carriages
5311	residential buildings	residential buildings
5312	non-residential buildings	non-residential buildings
5321	highways (except elevated highways), streets, roads, railways and airfield runwa	airfield runways
5322	bridges, elevated highways and tunnels	elevated highways
5324	long-distance pipelines, communication and power lines (cables)	long-distance pipelines
5325	local pipelines and cables and related works	local pipelines
5325	local pipelines and cables and related works	related works
01191	triticale	triticale
01193	fonio	fonio
01194	quinoa	quinoa
01219	other leafy or stem vegetables	stem vegetables
01252	green garlic	green garlic
01259	other root, bulb and tuberous vegetables, n.e.c.	tuberous vegetables
01260	vegetable seeds, except beet seeds	vegetable seeds
01313	plantains and cooking bananas	cooking bananas
01319	other tropical and subtropical fruits, n.e.c.	subtropical fruits
01360	fruit seeds	fruit seeds
01443	rape or colza seed	colza seed
01447	castor oil seeds	castor oil seeds
01630	maté leaves	maté leaves
01654	anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw	badian
01655	cinnamon and cinnamon-tree flowers, raw	cinnamon-tree flowers
01659	hop cones	hop cones
01699	other stimulant, spice and aromatic crops, n.e.c.	aromatic crops
01703	chick peas, dry	chick peas
01706	cow peas, dry	cow peas
01708	bambara beans, dry	bambara beans
01803	sugar beet seeds	sugar beet seeds
01913	cereal straw, husks, unprepared, ground, pressed, or in the form of pellets	cereal straw
01913	cereal straw, husks, unprepared, ground, pressed, or in the form of pellets	unprepared
01919	forage products, n.e.c.	forage products
01940	beet seeds (excluding sugar beet seeds) and seeds of forage plants	beet seeds
01961	live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn	mushroom spawn
01962	cut flowers and flower buds including bouquets, wreaths, floral baskets and simi	cut flowers
01963	flower seeds	flower seeds
02121	camels and camelids	camelids
02140	swine / pigs	swine / pigs
02311	hen eggs in shell, fresh, for hatching	hen eggs
02411	bovine semen	bovine semen
02910	natural honey	natural honey
02941	shorn wool, greasy, including fleece-washed shorn wool	shorn wool
02942	pulled wool, greasy, including fleece-washed pulled wool; coarse animal hair	pulled wool
02942	pulled wool, greasy, including fleece-washed pulled wool; coarse animal hair	coarse animal hair
02943	fine animal hair, not carded or combed	fine animal hair
02944	silk-worm cocoons suitable for reeling	silk-worm cocoons suitable
02955	raw furskins	raw furskins
02960	insect waxes and spermaceti, whether or not refined or coloured	insect waxes
03131	fuel wood of coniferous wood	fuel wood
03132	fuel wood of non-coniferous wood	fuel wood
03220	natural cork, raw or simply prepared	natural cork
03250	vegetable materials of a kind used primarily for plaiting or as stuffing or padd	vegetable materials
03250	vegetable materials of a kind used primarily for plaiting or as stuffing or padd	raw vegetable materials
03250	vegetable materials of a kind used primarily for plaiting or as stuffing or padd	vegetable products
04111	wild ornamental fish	wild ornamental fish
04112	farmed ornamental fish	farmed ornamental fish
04251	wild tunas, skipjack or stripe-bellied bonito, live, fresh or chilled	stripe-bellied bonito
04252	farmed tunas, skipjack or stripe-bellied bonito, live, fresh or chilled	stripe-bellied bonito
04351	wild cold-water shrimps and prawns (<i>pandalus spp.</i>, <i>crangon crangon</i>	wild cold-water shrimps
04352	farmed cold-water shrimps and prawns (<i>pandalus spp.</i>, <i>crangon crangon</	farmed cold-water shrimps
04461	wild cuttle fish and squid, live, fresh or chilled	wild cuttle fish
04462	farmed cuttle fish and squid, live, fresh or chilled	farmed cuttle fish
04920	natural sponges of aquatic animal origin	natural sponges
11020	patent fuel and similar solid fuels manufactured from hard coal	patent fuel
11040	brown coal briquettes and similar solid fuels manufactured from brown coal	brown coal briquettes
12010	petroleum oils and oils obtained from bituminous minerals, crude	petroleum oils
12030	bituminous or oil shale and tar sands	bituminous
12030	bituminous or oil shale and tar sands	tar sands
13000	uranium and thorium ores and concentrates	thorium ores
14220	nickel ores and concentrates	nickel ores
14230	aluminium ores and concentrates	aluminium ores
14240	precious metal ores and concentrates	precious metal ores
15120	marble and other calcareous monumental or building stone	building stone
15130	granite, sandstone and other monumental or building stone	building stone
15200	gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a ki	anhydrite
15200	gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a ki	limestone flux
15310	natural sands	natural sands
15330	bitumen and asphalt, natural; asphaltites and asphaltic rock	asphaltites
15330	bitumen and asphalt, natural; asphaltites and asphaltic rock	asphaltic rock
16110	natural calcium phosphates, natural aluminium calcium phosphates and phosphatic 	natural calcium phosphates
16120	unroasted iron pyrites	unroasted iron pyrites
16200	salt and pure sodium chloride; sea water	pure sodium chloride
16200	salt and pure sodium chloride; sea water	sea water
16310	precious stones (including diamonds, but not industrial diamonds) and semi-preci	semi-precious stones
16320	industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; e	industrial diamonds
16320	industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; e	natural corundum
18000	natural water	natural water
21181	pig meat, cuts, salted, dried or smoked (bacon and ham)	pig meat
21182	bovine meat, salted, dried or smoked	bovine meat
21183	other meat and edible meat offal, salted, in brine, dried or smoked; edible flou	edible meat offal
21186	prepared dishes and meals based on meat	meals based
21189	other prepared or preserved meat, meat offal or blood	meat offal
21215	tunas, skipjack or stripe-bellied bonito, frozen	stripe-bellied bonito
21221	fish fillets and fish meat (whether or not minced), fresh or chilled	fish meat
21223	fish meat, whether or not minced, frozen	fish meat
21225	fish livers and roes, fresh or chilled	fish livers
21226	fish livers and roes, frozen	fish livers
21227	fish livers and roes dried, smoked, salted or in brine	fish livers
21227	fish livers and roes dried, smoked, salted or in brine	roes dried
