kind	sub	sup	detail
single	alienism	expert	only sumo
single	alienism	field-of-study	only wordnet
single	alienism	freedom	only sumo
single	alienism	lap	only sumo
single	alienism	literary-works	only sumo
single	alienism	medical-specialty	only wordnet
single	alienism	medicine	only wordnet
single	alienism	natural-science	only wordnet
single	alienism	normal	only sumo
single	alienism	practice	only sumo
single	alienism	property	only sumo
single	alienism	quack	only sumo
single	alienism	science	only wordnet
single	alienism	society	only sumo
single	alienism	status	only sumo
single	alienism	tension	only sumo
single	alienism	way	only sumo
single	alienist	adult	only wordnet
single	alienist	agent	only wordnet
single	alienist	attribute	only sumo
single	alienist	doctor	only wordnet
single	alienist	medical-practitioner	only wordnet
single	alienist	medical-specialist	only wordnet
single	alienist	organism	only wordnet
single	alienist	person	only wordnet
single	alienist	physical-object	only wordnet
single	alienist	professional	only wordnet
single	alienist	property	only sumo
single	alkalinuria	attribute	only sumo
single	alkalinuria	cognition	only wordnet
single	alkalinuria	evidence	only wordnet
single	alkalinuria	property	only sumo
single	alkalinuria	symptomatic-effect	only sumo
single	allergist	agent	only wordnet
single	allergist	attribute	only sumo
single	allergist	human	only opencyc
single	allergist	mammal	only opencyc
single	allergist	medical-practitioner	only wordnet
single	allergist	organism	only wordnet
single	allergist	person	only wordnet
single	allergist	physical-object	only wordnet
single	allergist	property	only sumo
single	allergist	research-worker	only wikidata
single	allergist	structure	only opencyc
single	allergist	vertebrate	only opencyc
single	allergist	worker	only opencyc
single	allergology	cognition	only wordnet
single	allergology	medicine	only wordnet
single	allergology	natural-science	only wordnet
single	allergology	science	only wordnet
single	allopurinol	agent	only wordnet
single	allopurinol	drug	only wordnet
single	allopurinol	material	only sumo
single	alveolar-rhabdomyosarcoma	cancer	only wordnet
single	alveolar-rhabdomyosarcoma	condition	only wordnet
single	alveolar-rhabdomyosarcoma	disease	only wordnet
single	alveolar-rhabdomyosarcoma	illness	only wordnet
single	alveolar-rhabdomyosarcoma	malignancy	only wordnet
single	alveolar-rhabdomyosarcoma	property	only sumo
single	alveolar-rhabdomyosarcoma	sarcoma	only wordnet
single	alveolar-rhabdomyosarcoma	state	only wordnet
single	alveolar-rhabdomyosarcoma	symptomatic-effect	only sumo
single	alveolar-rhabdomyosarcoma	tissue-growth	only wordnet
single	alveolar-rhabdomyosarcoma	tumor	only wordnet
single	alzheimer's-disease	condition	only wordnet
single	alzheimer's-disease	dementia	only wordnet
single	alzheimer's-disease	inclination	only sumo
single	alzheimer's-disease	insanity	only wordnet
single	alzheimer's-disease	mentality	only sumo
single	alzheimer's-disease	property	only sumo
single	alzheimer's-disease	state	only wordnet
single	alzheimer's-disease	symptomatic-effect	only sumo
single	alzheimer's-disease	trait	only sumo
single	amastia	property	only sumo
single	amastia	state	only wordnet
single	amastia	symptomatic-effect	only sumo
single	amebiasis	condition	only wordnet
single	amebiasis	property	only sumo
single	amebiasis	state	only wordnet
single	amebiasis	symptomatic-effect	only sumo
single	amebic-dysentery	condition	only wordnet
single	amebic-dysentery	disease	only wordnet
single	amebic-dysentery	illness	only wordnet
single	amebic-dysentery	property	only sumo
single	amebic-dysentery	protozoal-infection	only wordnet
single	amebic-dysentery	state	only wordnet
single	amebic-dysentery	symptomatic-effect	only sumo
single	amenorrhea	cognition	only wordnet
single	amenorrhea	event	only sumo
single	amenorrhea	evidence	only wordnet
single	aminoaciduria	attribute	only sumo
single	aminoaciduria	cognition	only wordnet
single	aminoaciduria	evidence	only wordnet
single	aminoaciduria	property	only sumo
single	aminoaciduria	symptomatic-effect	only sumo
single	ammoniuria	attribute	only sumo
single	ammoniuria	cognition	only wordnet
single	ammoniuria	evidence	only wordnet
single	ammoniuria	property	only sumo
single	ammoniuria	symptomatic-effect	only sumo
single	amoxicillin	agent	only wordnet
single	amoxicillin	antibacterial	only wordnet
single	amoxicillin	drug	only wordnet
single	amoxicillin	medication	only wordnet
single	amoxicillin	medicine	only opencyc
single	amoxicillin	prescription-drug	only opencyc
single	amoxicillin	substance	only wordnet
single	amphotericin	agent	only wordnet
