# name	source	id
graph-convolutional-network	wikidata	Q54811238
graph-attention-network	wikidata	Q111725450
neural-turing-machine	wikidata	Q25325414
memory-augmented-neural-network	wikidata	Q39017646
hierarchical-temporal-memory	wikidata	Q652594
denoising-autoencoder	wikidata	Q114957649
generative-ai	wikidata	Q117246174
deep-generative-model	wikidata	Q105342324
flow-based-generative-model	wikidata	Q106179475
latent-dirichlet-allocation	wikidata	Q269236
stochastic-block-model	wikidata	Q25053762
masked-language-model	wikidata	Q24868018
statistical-language-model	wikidata	Q124149738
small-language-model	wikidata	Q123759530
multimodal-large-language-model	wikidata	Q125188018
reasoning-language-model	wikidata	Q131936230
mixture-of-experts-model	wikidata	Q138201526
instruction-tuned-model	wikidata	Q119418076
bert-model	wikidata	Q61726893
vision-transformer	wikidata	Q107675654
embedding-model	wikidata	Q124045602
sentence-embedding	wikidata	Q29043221
feature-learning	wikidata	Q17013334
sparse-dictionary-learning	wikidata	Q25304494
gradient-boosting	wikidata	Q5591907
adam-optimizer	wikidata	Q29410287
hill-climbing-search	wikidata	Q820272
metaheuristic	wikidata	Q1385229
heuristic-search-algorithm	wikidata	Q7009111
informed-search-algorithm	wikidata	Q88775728
uninformed-search-algorithm	wikidata	Q4443425
backtracking-search	wikidata	Q798554
graph-traversal	wikidata	Q907955
tree-traversal	wikidata	Q1210082
pathfinding	wikidata	Q1969601
string-searching-algorithm	wikidata	Q374040
monte-carlo-algorithm	wikidata	Q15238499
deep-reinforcement-learning	wikidata	Q65079156
model-free-reinforcement-learning	wikidata	Q63788448
policy-gradient-method	wikidata	Q113840014
multi-agent-reinforcement-learning	wikidata	Q85786957
reinforcement-learning-from-human-feedback	wikidata	Q115570683
imitation-learning	wikidata	Q124742024
robot-learning	wikidata	Q7353390
meta-learning	wikidata	Q6822311
few-shot-learning	wikidata	Q110797734
one-shot-learning	wikidata	Q7092335
zero-shot-learning	wikidata	Q96416030
continual-learning	wikidata	Q114958157
incremental-learning	wikidata	Q28324931
online-machine-learning	wikidata	Q7094097
active-learning	wikidata	Q4677561
federated-learning	wikidata	Q50818671
multi-task-learning	wikidata	Q6934509
multimodal-learning	wikidata	Q25052564
adversarial-machine-learning	wikidata	Q20312394
automated-machine-learning	wikidata	Q43967068
knowledge-distillation	wikidata	Q74253442
structured-prediction	wikidata	Q7625208
sequence-to-sequence-learning	wikidata	Q41589189
binary-classification	wikidata	Q17005494
multiclass-classification	wikidata	Q6934605
document-classification	wikidata	Q302088
bayes-classifier	wikidata	Q17004744
hierarchical-classifier	wikidata	Q4223017
nearest-neighbor-classifier	wikidata	Q6984421
hierarchical-clustering	wikidata	Q1277447
biclustering	wikidata	Q2976575
nonlinear-dimensionality-reduction	wikidata	Q7049464
isomap	wikidata	Q6086067
independent-component-analysis	wikidata	Q1259145
gaussian-mixture-model	wikidata	Q20025160
semantic-segmentation	wikidata	Q120970636
instance-segmentation	wikidata	Q54556143
panoptic-segmentation	wikidata	Q54806643
feature-detection	wikidata	Q1005631
handwriting-recognition	wikidata	Q2440634
sequence-labeling	wikidata	Q7452468
sentiment-analysis	wikidata	Q2271421
natural-language-understanding	wikidata	Q1078276
natural-language-generation	wikidata	Q1513879
dialogue-system	wikidata	Q5270587
part-of-speech-tagging	wikidata	Q1271424
syntactic-parsing	wikidata	Q109294696
morphological-analysis	wikidata	Q1898737
semantic-role-labeling	wikidata	Q7449085
text-mining	wikidata	Q676880
automatic-summarization	wikidata	Q1394144
text-segmentation	wikidata	Q1948408
machine-reading-comprehension	wikidata	Q124149560
information-extraction	wikidata	Q1662562
statistical-machine-translation	wikidata	Q3245113
rule-based-machine-translation	wikidata	Q7378909
example-based-machine-translation	wikidata	Q3753284
semantic-analysis	wikidata	Q7449042
distributional-semantics	wikidata	Q5283209
speaker-verification	wikidata	Q105171570
affective-computing	wikidata	Q1185804
artificial-empathy	wikidata	Q28130520
computational-intelligence	wikidata	Q1122090
distributed-artificial-intelligence	wikidata	Q3153007
