name	issue	ids
chemical-chain	name collision with 'chain' — (chemistry) a series of linked atoms (generally in an organi	09240621
chemical-group	name collision with 'group' — (chemistry) two or more atoms bound together as a single uni	14621446
ammonia-alum	name collision with 'alum' — a white crystalline double sulfate of aluminum: the ammonium	14628307
antimonial-lead	name collision with 'hard-lead' — a lead alloy that contains about 5% antimony	14905197
antimony	opencyc: 2 classes match ['antimony']	Mx4r41JQoJOaEdaAAAACs6Mw3A Mx4rvVkLQZwpEbGdrcN5Y29ycA
heavy-metal	opencyc: 2 classes match ['heavy-metal']	Mx4rIt903HS6EdaAAACgyZzFrg Mx4rv5kRrJwpEbGdrcN5Y29ycA
mercury	opencyc: 2 classes match ['mercury']	Mx4rv5kRqpwpEbGdrcN5Y29ycA Mx4rvViZTZwpEbGdrcN5Y29ycA
nickel	opencyc: 2 classes match ['nickel']	Mx4rvVkB5ZwpEbGdrcN5Y29ycA Mx4rwPznN5wpEbGdrcN5Y29ycA
polymer	opencyc: 3 classes match ['polymer']	Mx4rvz8bAZwpEbGdrcN5Y29ycA Mx8Ngh4rvvtW-JwpEbGdrcN5Y29ycB4rvz8bAZwpEbGdrcN5Y29ycA Mx8Ngh4rwBhyv5wpEbGdrcN5Y29ycB4rvz8bAZwpEbGdrcN5Y29ycA
