# QID	depth	note — bounded P279 walks for the economics pack; resolved by exact English label via SPARQL and read against descriptions 2026-09-03
Q484830	0	barter
Q178803	0	international-trade
Q62955	0	import
Q37654	1	market
Q330284	0	marketplace
Q3390477	0	online-marketplace
Q484847	0	e-commerce
Q126793	0	retail
Q220695	0	wholesale
Q215536	0	merchant
Q1762621	0	vendor
Q852835	0	customer
Q1308239	0	buyer
Q1666223	0	intermediary
Q2031007	0	two-sided-market
Q649124	0	network-effect
Q50867887	0	platform-economy
Q2277143	0	sharing-economy
Q51711208	0	gig-economy
Q26090	0	mechanism-design
Q44455	0	game-theory
Q23389	0	nash-equilibrium
Q41693	0	prisoners-dilemma
Q1918846	0	contract-theory
Q1053211	0	principal-agent-problem
Q44454	0	moral-hazard
Q380037	0	adverse-selection
Q877496	0	transaction-cost
Q275372	0	externality
Q272458	0	public-good
Q9828451	0	commons
Q334622	0	tragedy-of-the-commons
Q6498684	0	ownership
Q5393493	0	property-title
Q705914	0	deed
Q253623	0	patent
Q1297822	0	copyright
Q167270	0	trademark
Q79719	0	license
Q177777	1	logistics
Q492886	1	supply-chain-management
Q829492	0	procurement
Q1369832	0	purchasing
Q3761396	0	inventory-management
Q181623	1	warehouse
Q278660	0	warehouse-management-system
Q1229659	0	distribution-center
Q1473552	0	order-fulfillment
Q1368743	0	consignment
Q319224	0	cargo
Q190272	0	bill-of-lading
Q561929	0	waybill
Q2334804	1	delivery
Q6494801	0	last-mile
Q942821	0	parcel
Q505996	0	pallet
Q187956	1	intermodal-container
Q428072	0	containerization
Q1180158	0	shipping-container
Q43193	0	truck
Q954927	0	freight-train
Q105999	1	cargo-ship
Q17210	0	container-ship
Q19799	0	cargo-aircraft
Q218548	0	customs-broker
Q856	0	barcode
Q12203	0	qr-code
Q399757	0	stock-keeping-unit
Q1267117	0	lead-time
Q2736296	0	safety-stock
Q490060	0	just-in-time-manufacturing
Q451299	0	economic-order-quantity
Q1343909	0	bullwhip-effect
Q3409300	0	demand-forecasting
Q944041	0	vehicle-routing-problem
Q108731064	0	route-planning
Q1430291	0	fleet-management
Q1059251	0	transportation-management-system
Q1500317	0	third-party-logistics
Q1345498	0	reverse-logistics
Q592197	0	cold-chain
Q1542702	0	drop-shipping
Q1800351	0	inventory-turnover
Q20514253	1	blockchain
Q25110971	0	distributed-ledger
Q13479982	1	cryptocurrency
Q40186999	1	cryptocurrency-wallet
Q1057478	0	private-key
Q1054766	0	public-key
Q106809679	0	seed-phrase
Q7249984	0	proof-of-work
Q17083510	0	proof-of-stake
Q56316252	0	coinbase-transaction
Q55636735	0	unspent-transaction-output
Q30325114	0	lightning-network
Q30327698	0	segwit
Q107377077	0	taproot
Q56868002	0	satoshi
Q16783523	0	ethereum
Q139953717	0	ethereum-virtual-machine
Q7544035	1	smart-contract
Q24909565	0	solidity
Q55080113	1	decentralized-application
Q18204722	0	decentralized-autonomous-organization
Q39049892	0	erc-20-token
Q55648452	0	non-fungible-token
Q55582088	0	stablecoin
Q59785441	0	decentralized-exchange
Q55633141	0	sidechain
Q25388952	0	51-percent-attack
Q5299614	0	double-spending
Q54864610	0	hard-fork
Q56355441	0	soft-fork
Q134972301	0	genesis-block
Q477202	0	cryptographic-hash-function
Q220849	0	digital-signature
Q1048911	0	elliptic-curve-cryptography
Q127271920	0	ethereum-name-service
Q21422344	0	ipfs
Q1128613	0	content-addressable-storage
Q161410	0	peer-to-peer
Q25401607	0	cryptocurrency-exchange
Q106145	0	know-your-customer
Q30100943	0	initial-coin-offering
Q48743261	0	token-airdrop
Q65053456	0	tokenomics
Q114747713	0	ethereum-improvement-proposal
Q106677933	0	web3
Q5678864	0	hash-chain
Q37930	0	postage-stamp
Q430660	0	micropayment
Q749647	0	interoperability
Q1474273	0	fungibility
Q815758	0	scarcity
Q131723	1	bitcoin
Q475000	0	stock-market
Q1341287	0	commodity-market
Q1542622	0	bid-ask-spread
Q106526	0	short-selling
