kind	sub	sup	detail
single	computational-linguistics	cognition	only wordnet
single	computational-linguistics	science	only wordnet
single	computational-ontology	dataset	only wikidata
single	computer-chess	information	only yago
single	computer-simulation	cognition	only wordnet
single	computer-simulation	concept	only wordnet
single	computer-simulation	event	only opencyc
single	computer-simulation	hypothesis	only wordnet
single	computer-simulation	idea	only wordnet
single	computer-simulation	situation	only opencyc
single	concurrent-logic-programming	skill	only wikidata
single	conductor	embodied-agent	only opencyc
single	conductor	intelligent-agent	only opencyc
single	connectionist-expert-system	artificial-intelligence	only wikidata
single	connectionist-expert-system	knowledge-based-system	only wikidata
single	constraint-logic-programming	skill	only wikidata
single	consumer	embodied-agent	only opencyc
single	consumer	intelligent-agent	only opencyc
single	continual-learning	artificial-intelligence	only wikidata
single	contrastive-learning	artificial-intelligence	only wikidata
single	contrastive-learning	machine-learning	only wikidata
single	contrastive-learning	supervised-learning	only wikidata
single	contrastive-learning	weakly-supervised-learning	only wikidata
single	control-system	device	only sumo
single	control-system	machine	only sumo
single	control-system	machinery	only sumo
single	control-system	physical-object	only wordnet
single	controlled-vocabulary	information	only yago
single	conversational-ai	artificial-neural-network	only wikidata
single	conversational-ai	software	only wikidata
single	conversational-ai	software-agent	only wikidata
single	convolutional-neural-network	artificial-neural-network	only wikidata
single	council	intelligent-agent	only opencyc
single	country	intelligent-agent	only opencyc
single	couple	intelligent-agent	only opencyc
single	court	intelligent-agent	only opencyc
single	craftsman	embodied-agent	only opencyc
single	craftsman	intelligent-agent	only opencyc
single	cricket	embodied-agent	only opencyc
single	criminal	embodied-agent	only opencyc
single	criminal	intelligent-agent	only opencyc
single	critic	embodied-agent	only opencyc
single	critic	intelligent-agent	only opencyc
single	crowd	intelligent-agent	only opencyc
single	cybernetics	cognition	only wordnet
single	dairy	intelligent-agent	only opencyc
single	data-mining	accomplishment	only sumo
single	data-mining	act	only sumo
single	data-mining	action	only opencyc
single	data-mining	activity	only sumo
single	data-mining	procedure	only sumo
single	data-mining	situation	only opencyc
single	data-mining	volition	only sumo
single	decision-tree-learning	algorithm	only wikidata
single	deep-generative-model	statistical-model	only wikidata
single	deep-reinforcement-learning	artificial-intelligence	only wikidata
single	deep-reinforcement-learning	machine-learning	only wikidata
single	deer	embodied-agent	only opencyc
single	delta-robot	machine	only wikidata
single	denoising-autoencoder	artificial-neural-network	only wikidata
single	dentist	embodied-agent	only opencyc
single	dentist	intelligent-agent	only opencyc
single	depth-first-search	algorithm	only wikidata
single	depth-first-search	information-retrieval	only wikidata
single	depth-first-search	search-algorithm	only wikidata
single	detective	embodied-agent	only opencyc
single	detective	intelligent-agent	only opencyc
single	diagnostic-expert-system	artificial-intelligence	only wikidata
single	diagnostic-expert-system	knowledge-based-system	only wikidata
single	dialogue-system	artificial-intelligence	only wikidata
single	dialogue-system	computational-linguistics	only wikidata
single	diffusion-model	artificial-neural-network	only wikidata
single	diffusion-model	software	only wikidata
single	diffusion-model	statistical-model	only wikidata
single	dimensionality-reduction	algorithm	only wikidata
single	diplomat	embodied-agent	only opencyc
single	diplomat	intelligent-agent	only opencyc
single	director	embodied-agent	only opencyc
single	director	intelligent-agent	only opencyc
single	distilled-ai-model	artificial-neural-network	only wikidata
single	distilled-ai-model	software	only wikidata
single	district	intelligent-agent	only opencyc
single	doctor	embodied-agent	only opencyc
single	doctor	intelligent-agent	only opencyc
single	dog	embodied-agent	only opencyc
single	domain-adaptation	artificial-intelligence	only wikidata
single	domain-adaptation	machine-learning	only wikidata
single	domestic-robot	automaton	only wikidata
single	domestic-robot	machine	only wikidata
single	dominion	intelligent-agent	only opencyc
single	driver	embodied-agent	only opencyc
single	driver	intelligent-agent	only opencyc
single	duke	embodied-agent	only opencyc
single	duke	intelligent-agent	only opencyc
single	dynamic-knowledge-graph	dataset	only wikidata
single	dynamic-knowledge-graph	knowledge-base	only wikidata
single	eagle	embodied-agent	only opencyc
single	echo-state-network	artificial-neural-network	only wikidata
single	elephant	embodied-agent	only opencyc
single	elite	embodied-agent	only opencyc
single	elite	intelligent-agent	only opencyc
single	embedding-model	artificial-neural-network	only wikidata
single	embedding-model	software	only wikidata
single	empire	intelligent-agent	only opencyc
single	engineer	embodied-agent	only opencyc
single	engineer	intelligent-agent	only opencyc
single	ensemble-learning	artificial-intelligence	only wikidata
single	entertainment-robot	machine	only wikidata
single	evolutionary-algorithm	artificial-intelligence	only wikidata
single	examiner	embodied-agent	only opencyc
single	examiner	intelligent-agent	only opencyc
single	example-based-machine-translation	action	only opencyc
single	example-based-machine-translation	artificial-intelligence	only wikidata
single	example-based-machine-translation	computational-linguistics	only wikidata
single	example-based-machine-translation	event	only opencyc
single	example-based-machine-translation	natural-language-processing	only wikidata
single	example-based-machine-translation	situation	only opencyc
single	executive	embodied-agent	only opencyc
single	executive	intelligent-agent	only opencyc
single	expert	embodied-agent	only opencyc
single	expert	intelligent-agent	only opencyc
single	expert-system	information	only opencyc
single	explanation-based-learning	artificial-intelligence	only wikidata
single	facial-recognition-system	algorithm	only wikidata
single	family	intelligent-agent	only opencyc
single	farm	intelligent-agent	only opencyc
single	farmer	embodied-agent	only opencyc
single	farmer	intelligent-agent	only opencyc
single	feature-extraction	algorithm	only wikidata
single	feature-learning	artificial-intelligence	only wikidata
single	feature-selection	algorithm	only wikidata
single	federated-learning	artificial-intelligence	only wikidata
single	feedback-loop	event	only sumo
single	feminist	embodied-agent	only opencyc
single	feminist	intelligent-agent	only opencyc
single	few-shot-learning	artificial-intelligence	only wikidata
single	fisherman	embodied-agent	only opencyc
single	fisherman	intelligent-agent	only opencyc
single	flow-based-generative-model	statistical-model	only wikidata
single	fly	embodied-agent	only opencyc
single	foreman	embodied-agent	only opencyc
single	foreman	intelligent-agent	only opencyc
single	fox	embodied-agent	only opencyc
single	frame-based-expert-system	artificial-intelligence	only wikidata
single	frame-based-expert-system	knowledge-based-system	only wikidata
single	franchise	intelligent-agent	only opencyc
single	friendly-artificial-intelligence	ai-model	only wikidata
single	friendly-artificial-intelligence	artificial-intelligence	only wikidata
single	friendly-artificial-intelligence	artificial-neural-network	only wikidata
