name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
dearth	14449865	SubjectiveAssessmentAttribute	+			Q123493179					an acute insufficiency	core
death	07355491	Death	=		Death	Q4	Mx4rvVkJU5wpEbGdrcN5Y29ycA				"the event of dying or departure from life; ""her death came as a terrible shock""; ""upon you"	core
debate	07242104	Stating	+		Debate	Q179875					the formal presentation of a stated proposition and the opposition to it (usually followed	core
debt	13397174	CurrencyMeasure	+								money or goods or services owed by one person to another	core
decade	15204983	Decade	+		Decade	Q39911	Mx4rvVi5N5wpEbGdrcN5Y29ycA				a period of 10 years	core
decay	11444643	ChemicalDecomposition	+			Q339062					the organic phenomenon of rotting	core
deck	03167666	BoatDeck	+			Q208123					any of various platforms built into a vessel	core
declaration	06725877	Stating	+			Q2620826					a statement that is emphatic and explicit (spoken or written)	core
declivity	09265620	LandArea	+								a downward slope or bend	core
decoration	03169390	ArtWork	+			Q335261					something used to beautify	core
decorative-design	03178782	ArtWork	+			Q2083958					"a decorative or artistic work; ""the coach had a design on the doors"""	core
decrease	07355887	Decreasing	+				Mx4rvisLnJwpEbGdrcN5Y29ycA				"a change downward; ""there was a decrease in his temperature as the fever subsided""; ""there"	core
decree	06539770	Law	+		Decree		Mx4rYbkfnCtWQdiW04rIM4H--g				a legally binding command or decision entered on the court record (as if issued by a court	core
deed	06545137	Title	=		Deed	Q705914	Mx4rwSgEeJwpEbGdrcN5Y29ycA				a legal document signed and sealed and delivered to effect a transfer of property and to s	core
deer	02430045	Deer	=			Q23390	Mx4rvVi-jpwpEbGdrcN5Y29ycA				distinguished from Bovidae by the male's having solid deciduous antlers	core
default-option	05791864	Selecting	+								an option that is selected automatically unless an alternative is specified	core
defect	14464203	Malfunctioning	+								"an imperfection in an object or machine; ""a flaw caused the crystal to shatter""; ""if there"	core
defendant	09762101	SocialRole	+			Q159394					a person or institution against whom an action is brought in a court of law; the person be	core
deficit	05114371	Quantity	+			Q2184645	Mx4r5JtcUhlCQdiMeOEHSguY-g				"the property of being an amount by which something is less than expected or required; ""new"	core
definition	06744396	Proposition	+		Definition	Q101072	Mx4rEwtiBhxgQdiRgYQtjilY2w				a concise explanation of the meaning of a word or phrase or symbol	core
degree	05093890	ConstantQuantity	+			Q1046315					"a position on a scale of intensity or amount or quality; ""a moderate grade of intelligence"	core
deity	09505418	Deity	=		Deity	Q1379405	Mx4rvVjrCJwpEbGdrcN5Y29ycA				any supernatural being worshipped as controlling some part of the world or some aspect of 	core
delay	01066163	Process	[								the act of delaying; inactivity resulting in something being put off until a later time	core
delegate	10000787	SocialRole	+			Q3115299					a person appointed or elected to represent others	core
deliberation	05796423	Planning	+								"planning something carefully and intentionally; ""it was the deliberation of his act that w"	core
delivery	00042541	Birth	=			Q2334804					the act of delivering a child	core
demand	07191279	Requesting	+	schema:Demand							"an urgent or peremptory request; ""his demands for attention were unceasing"""	core
demand.process	13461162	DemandFn	=								"the ability and desire to purchase goods and services; ""the automobile reduced the demand "	core
demo	06879180	Disseminating	+				Mx4rwDgVOpwpEbGdrcN5Y29ycA				"a visual presentation showing how something works; ""the lecture was accompanied by dramati"	core
democracy	08361329	Democracy	=			Q7174					a political system in which the supreme power lies in a body of citizens who can elect peo	core
demonstration	01177703	Demonstration	=			Q175331					"a public display of group feelings (usually of a political nature); ""there were violent de"	core
demonstrator	10002760	Human	+								someone who participates in a public display of group feeling	core
denial	07204240	Stating	+				Mx4rgATZJF3eEdaAAABQ2sS97g				the act of asserting that something alleged is not true	core
density	04941453	DensityFn	=				Mx4rvViYGZwpEbGdrcN5Y29ycA				the amount per unit size	core
dentist	10004282	Dentist	=	schema:Dentist		Q27349	Mx4rvVjfgpwpEbGdrcN5Y29ycA				a person qualified to practice dentistry	core
departure	00042757	Leaving	+				Mx4rvWSHaJwpEbGdrcN5Y29ycA				the act of departing	core
deposit	13381145	Deposit	=								money deposited in a bank or some similar institution	core
depository-financial-institution	08420278	Bank-FinancialOrganization	=			Q22687					a financial institution that accepts deposits and channels the money into lending activiti	core
depression	14489113	SubjectiveAssessmentAttribute	+			Q1814941	Mx4rMdwrBAMxQdiaCcmY2DgFlw				a long-term economic state characterized by unemployment and low prices and low levels of 	core
depressive-disorder	14389240	Depression	+			Q42844					a state of depression and anhedonia so severe as to require clinical intervention	core
deputation	08402442	ReligiousOrganization	+								a group of representatives or delegates	core
deputy	10005721	SocialRole	+			Q1055894					a person appointed to represent or act on behalf of others	core
descent	07363346	Motion	+								a movement downward	core
desert	08505573	Desert	=		Desert	Q8514					arid land with little or no vegetation	core
deservingness	04807050	SubjectiveAssessmentAttribute	+								"the quality of being deserving (e.g., deserving assistance); ""there were many children who"	core
design	03179318	Icon	+		Design					Design	"a preliminary sketch indicating the plan for something; ""the design of a building"""	core
desire	07484265	Entity	+				Mx4rF7Ox-sGMEdmAAACQJw5drg				the feeling that accompanies an unsatisfied state	core
desk	03179701	Desk	=			Q1064858	Mx4rvVjfVpwpEbGdrcN5Y29ycA				a piece of furniture with a writing surface and usually drawers or other compartments	core
despair	07541923	Despair	=				Mx4rvVim15wpEbGdrcN5Y29ycA				"the feeling that everything is wrong and nothing will turn out well; ""they moaned in despa"	core
dessert	07609840	Dessert	=		Dessert	Q182940					a dish served as the last course of a meal	core
destiny	14473222	SubjectiveAssessmentAttribute	+			Q1970348					your overall circumstances or condition in life (including everything that happens to you)	core
destruction	07334490	Destruction	=								an event (or the result of an event) that completely destroys something	core
detachment	07506031	PsychologicalAttribute	+								avoiding emotional involvement	core
detail	13809920	SubjectiveAssessmentAttribute	+				Mx4rwQBy45wpEbGdrcN5Y29ycA				"a small part that can be considered separately from the whole; ""it was perfect in all deta"	core
detective	10009276	PoliceDetective	+			Q3656924	Mx4rmhqfWBlCQdiCBrBiFYJo2w				a police officer who investigates crimes	core
detector	03180969	MeasuringDevice	+			Q167676	Mx4rvVieWpwpEbGdrcN5Y29ycA				any device that receives a signal or stimulus (as heat or pressure or light or motion etc.	core
detention	13999663	SocialRole	+			Q1071447					"a state of being confined (usually for a short time); ""his detention was politically motiv"	core
development	08549070	StationaryArtifact	=				Mx4rvVjZBpwpEbGdrcN5Y29ycA				"a district that has been developed to serve some purpose; ""such land is practical for smal"	core
device	03183080	Device	=				Mx4rvVjHL5wpEbGdrcN5Y29ycA				"an instrumentality invented for a particular purpose; ""the device is small enough to wear "	core
diagnosis	00152727	Learning	+							Diagnosis	identifying the nature or cause of some phenomenon	core
diagram	03186399	Blueprint	+		Diagram	Q959962	Mx4rj5sOQCzGEdiUgwAH6RYvSQ				a drawing intended to explain how something works; a drawing showing the relation between 	core
dialect	07155661	SpokenHumanLanguage	+		Dialect		Mx4rvVizq5wpEbGdrcN5Y29ycA				"the usage or vocabulary that is characteristic of a specific group of people; ""the immigra"	core
dialog	07136206	Speaking	+								a conversation between two persons	core
dialogue	07010541	Text	+		Dialogue	Q131395	Mx4rvViRxJwpEbGdrcN5Y29ycA				the lines spoken by characters in drama or fiction	core
diameter	13871717	GraphArc	+			Q37221					a straight line connecting the center of a circle with two points on its perimeter (or the	core
diamond	13371958	Diamond	+		Diamond	Q17413599					a transparent piece of diamond that has been cut and polished and is valued as a precious 	core
diary	06402031	Report	+		Diary		Mx4rvVjU4JwpEbGdrcN5Y29ycA				a daily written record of (usually personal) experiences and observations	core
dictionary	06418901	Dictionary	=		Dictionary	Q23622	Mx4rvVjKWpwpEbGdrcN5Y29ycA				a reference book containing an alphabetical list of words with information about them	core
diet	01070187	Dieting	=	schema:Diet		Q474191	Mx4rvVjUkZwpEbGdrcN5Y29ycA				the act of restricting your food intake (or your intake of particular foods)	core
difficulty	04709253	SubjectiveAssessmentAttribute	+				Mx4rvi2nP5wpEbGdrcN5Y29ycA				"the quality of being difficult; ""they agreed about the difficulty of the climb"""	core
dig	08550076	LandArea	+			Q959782					"the site of an archeological exploration; ""they set up camp next to the dig"""	core
dignity	04886881	SubjectiveAssessmentAttribute	+								"the quality of being worthy of esteem or respect; ""it was beneath his dignity to cheat""; """	core
dilemma	05686086	SubjectiveAssessmentAttribute	+				Mx4rlyNhNCp4EdiUfwAH6RYvSQ				state of uncertainty or perplexity especially as requiring a choice between equally unfavo	core
diligence	04865114	PsychologicalAttribute	+			Q1427962					"persevering determination to perform a task; ""his diligence won him quick promotions""; ""fr"	core
diminution	00351638	Decreasing	=			Q1225810					the act of decreasing or reducing something	core
dinner	07575726	Dinner	+			Q657221	Mx4rvVi-6pwpEbGdrcN5Y29ycA				"the main meal of the day served in the evening or at midday; ""dinner will be at 8""; ""on Su"	core
diplomat	10013927	Diplomat	=			Q193391	Mx4rv5VvH5wpEbGdrcN5Y29ycA				an official engaged in international negotiations	core
direction	06197215	SubjectiveAssessmentAttribute	+								"a general course along which something has a tendency to develop; ""I couldn't follow the d"	core
director	10015485	Position	+			Q3455803	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvViZVJwpEbGdrcN5Y29ycB4rvVjVT5wpEbGdrcN5Y29ycA				member of a board of directors	core
directory	06423619	ReferenceBook	+			Q70326023					an alphabetical list of names and addresses	core
disability	14548343	Disability	=			Q12131	Mx4rvc0ngZwpEbGdrcN5Y29ycA				the condition of being unable to perform as a consequence of physical or mental unfitness;	core
disadvantage	05161614	SubjectiveAssessmentAttribute	+								the quality of having an inferior or less favorable position	core
disagreement	13982357	SubjectiveAssessmentAttribute	+								a conflict of people's opinions or actions or characters	core
disappointment	07540602	Disappointment	=			Q621206	Mx4rvVi1Q5wpEbGdrcN5Y29ycA				"a feeling of dissatisfaction that results when your expectations are not realized; ""his ho"	core
discipline	01161821	RegulatoryProcess	+								"the act of punishing; ""the offenders deserved the harsh discipline they received"""	core
disco	03206282	NightClub	=			Q58339					a public dance hall for dancing to recorded popular music	core
discount	00362103	Decreasing	+								the act of reducing the selling price of merchandise	core
discourtesy	01224031	SubjectiveAssessmentAttribute	+								a lack of politeness; a failure to show regard for others; wounding the feelings or others	core
discovery	05808218	SubjectiveAssessmentAttribute	+				Mx4rvnJL4pwpEbGdrcN5Y29ycA				a productive insight	core
discrimination	01153548	SubjectiveAssessmentAttribute	+		Discrimination		Mx4r-O4sjCA9QdiC7PG04gwE7A				unfair treatment of a person or group on the basis of prejudice	core
discussion	07138085	Text	+								"an extended communication (often interactive) dealing with some particular topic; ""the boo"	core
disease	14070360	DiseaseOrSyndrome	+			Q12136	Mx4rv6WBtZwpEbGdrcN5Y29ycA				an impairment of health or a condition of abnormal functioning	core
disembodied-spirit	09545324	CognitiveAgent	+								any incorporeal supernatural being that can become visible (or audible) to human beings	core
disgrace	14440137	SubjectiveAssessmentAttribute	+			Q152282	Mx4rTCn2PjAeQdiFb98sdNgFLw				"a state of dishonor; ""one mistake brought shame to all his family""; ""suffered the ignominy"	core
dish	03206908	Dish	=			Q746549	Mx4rvVj_epwpEbGdrcN5Y29ycA				"a piece of dishware normally used as a container for holding or serving food; ""we gave the"	core
dish-aerial	03207305	Device	+			Q4928259					directional antenna consisting of a parabolic reflector for microwave or radio frequency r	core
disk	03208556	Artifact	+			Q238231	Mx4rwPuen5wpEbGdrcN5Y29ycA				a flat circular plate	core
dismay	07519773	Fear	+								fear resulting from the awareness of danger	core
dismissal	07213079	Certificate	+			Q882603					official notice that you have been fired from your job	core
disorderliness	14499262	SubjectiveAssessmentAttribute	+								"a condition in which things are not in their expected places; ""the files are in complete d"	core
display	00521209	Demonstrating	+								"something shown to the public; ""the museum had many exhibits of oriental art"""	core
disposition	04623612	TraitAttribute	+			Q9247895	Mx4rSW8bsGVbQdeNtugJ3w7y1Q	BFO_0000016			"your usual mood; ""he has a happy disposition"""	core
dispute	07181935	Debating	+				Mx4rvVjz15wpEbGdrcN5Y29ycA				"a disagreement or argument about something important; ""he had a dispute with his wife""; ""t"	core
disregard	00418615	SubjectiveAssessmentAttribute	+								willful lack of care and attention	core
dissertation	06409085	Text	+			Q1266946	Mx4rvVibw5wpEbGdrcN5Y29ycA				a treatise advancing a new point of view resulting from research; usually a requirement fo	core
distance	05084201	LengthMeasure	+	schema:Distance			Mx4rvViAmpwpEbGdrcN5Y29ycA				the property created by the space between two objects or points	core
distortion	00073713	SubjectiveAssessmentAttribute	+			Q186634					the mistake of misrepresenting the facts	core
distributor	08061905	Corporation	+			Q1459069					"a company that markets merchandise; ""his company is a large distributor of software produc"	core
district	08552138	LandArea	+		District	Q149621	Mx4rQWWHo1VvSE6OCrWPlC8k9A				a region marked off for administrative or other purposes	core
disturbance	13977366	SubjectiveAssessmentAttribute	+								"a disorderly outburst or tumult; ""they were amazed by the furious disturbance they had cau"	core
diverseness	04751305	SubjectiveAssessmentAttribute	+								"noticeable heterogeneity; ""a diversity of possibilities""; ""the range and variety of his wo"	core
diversion	00350380	DirectionChange	+								"a turning aside (of your course or attention or concern); ""a diversion from the main highw"	core
dividend	13273836	Giving	+								a bonus; something extra (especially a share of a surplus)	core
division	00870912	DivisionFn	=			Q1226939					an arithmetic operation that is the inverse of multiplication; the quotient of two numbers	core
divorce	01201271	Divorcing	+		Divorce	Q93190	Mx4rwP1XQpwpEbGdrcN5Y29ycA				the legal dissolution of a marriage	core
doctor	10020890	MedicalDoctor	+			Q39631	Mx4rvVjrVZwpEbGdrcN5Y29ycA				"a licensed medical practitioner; ""I felt so bad I went to see my doctor"""	core
doctrine	05943300	Proposition	+		Doctrine						a belief (or system of beliefs) accepted as authoritative by some group or school	core
document	06470073	FactualText	+		Document						writing that provides information (especially information of an official nature)	core
documentation	00154433	Investigating	+			Q788790					"documentary validation; ""his documentation of the results was excellent""; ""the strongest s"	core
dog	02084071	DomesticDog	=		Dog	Q144	Mx4rvVjaoJwpEbGdrcN5Y29ycA				a member of the genus Canis (probably descended from the common wolf) that has been domest	core
doll	03219135	Doll	=		Doll	Q168658	Mx4rvgEWHpwpEbGdrcN5Y29ycA				a small replica of a person; used as a toy	core
dolphin	02068974	AquaticMammal	+			Q312257					any of various small toothed whales with a beaklike snout; larger than porpoises	core
dome	03220513	Dome	+		Dome	Q12493	Mx4rVbC1tIa0EdqAAAACs71DGQ				a hemispherical roof	core
dominance	14441825	SubjectiveAssessmentAttribute	+			Q83771986					"the state that exists when one person or group has power over another; ""her apparent domin"	core
domination	14442530	SubjectiveAssessmentAttribute	+								"power to dominate or defeat; ""mastery of the seas"""	core
dominion	14442933	NormativeAttribute	+				Mx4rvViD3pwpEbGdrcN5Y29ycA				"dominance or power through legal authority; ""France held undisputed dominion over vast are"	core
donor	10026058	SocialRole	+			Q1968442					(medicine) someone who gives blood or tissue or an organ to be used in another person (the	core
door	03221720	Door	+		Door	Q36794	Mx4rvViZ_5wpEbGdrcN5Y29ycA				a swinging or sliding barrier that will close the entrance to a room or building or vehicl	core
doorbell	03222516	SwitchDevice	+			Q384459	Mx4rvViOcZwpEbGdrcN5Y29ycA				a push button at an outer door that gives a ringing or buzzing signal when pushed	core
doorsill	03223686	Artifact	+			Q774145					the sill of a door; a horizontal piece of wood or stone that forms the bottom of a doorway	core
dormitory	03224893	Dormitory	+		Dormitory	Q847950	Mx4r2FuXsi__QdiXX5s-6AsJlg				a college or university building containing living quarters for students	core
dose	03225238	Medicine	+				Mx4rvWSizJwpEbGdrcN5Y29ycA				a measured portion of medicine taken at any one time	core
dot	13911872	GeometricPoint	+								"a very small circular shape; ""a row of points""; ""draw lines between the dots"""	core
double	05860200	Quantity	+			Q4413006					"a quantity that is twice as great as another; ""36 is the double of 18"""	core
doubt	04757522	ProbabilityRelation	+			Q34302	Mx4rvVjh8pwpEbGdrcN5Y29ycA				"uncertainty about the truth or factuality or existence of something; ""the dubiousness of h"	core
dough	07860988	Dough	+			Q178024	Mx4rvViIdZwpEbGdrcN5Y29ycA				a flour mixture stiff enough to knead or roll	core
down-payment	13349834	CurrencyMeasure	+			Q708438					a partial payment made at the time of purchase; the balance to be paid later	core
downfall	07318133	NormativeAttribute	+								failure that results in a loss of position or reputation	core
draft	06390962	Text	+			Q560361					"any of the various versions in the development of a written work; ""a preliminary draft""; """	core
dragon	09494388	SentientAgent	+			Q7559	Mx4rwPzyTpwpEbGdrcN5Y29ycA				a creature of Teutonic mythology; usually represented as breathing fire and having a repti	core
drain	03231912	Device	+			Q1394694					a pipe through which liquid is carried away	core
drama	07290278	SubjectiveAssessmentAttribute	+		Drama	Q25372					an episode that is turbulent or highly emotional	core
dramatic-play	07007945	DramaticPlay	=			Q25372					"a dramatic work intended for performance by actors on a stage; ""he wrote several plays but"	core
dramaturgy	07006119	FieldOfStudy	@			Q11635					the art of writing and producing plays	core
draught	11522448	Motion	+			Q244777					a current of air (usually coming into a chimney or room or vehicle)	core
draw	07353716	TieScore	+			Q2122935	Mx4rt7QVxgMwQdiJvtc6JMmHjA				"the finish of a contest in which the score is tied and the winner is undecided; ""the game "	core
drawer	03233905	Compartment	+				Mx4rvVjV4JwpEbGdrcN5Y29ycA				a boxlike container in a piece of furniture; made so as to slide in and out	core
drawing	07003119	Icon	+	schema:Drawing	Drawing	Q93184					"an illustration that is drawn by hand and published in a book, magazine, or newspaper; ""it"	core
dream	05768553	Dreaming	+			Q36348					"a series of mental images and emotions occurring during sleep; ""I had a dream about you la"	core
dressing	03237639	Device	+								a cloth covering for a wound or sore	core
drift	09270233	SelfConnectedObject	+			Q5307436					a large mass of material that is heaped up by the wind or by water currents	core
drill	00894359	EducationalProcess	+				Mx4raB60mFQYQdeNoJqBDXBMLA				(military) the training of soldiers to march (as in ceremonial parades) or to perform the 	core
drill-tool	03239726	Device	+			Q58964					a tool with a sharp point and cutting edges for making holes in hard materials (usually ro	core
drink	07881800	Beverage	=		Drink	Q40050					"any liquid suitable for drinking; ""may I take your beverage order?"""	core
drinking	00748515	Drinking	+			Q876776	Mx4rvVju7pwpEbGdrcN5Y29ycA				"the act of drinking alcoholic beverages to excess; ""drink was his downfall"""	core
drive	00307631	Transportation	+				Mx4rJFQTxrjJEdmAAAACs6hRjg				"a journey in a vehicle (usually an automobile); ""he took the family for a drive in his new"	core
driver	10034906	SocialRole	+			Q352388	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB8Ngh4rFKDxAmNZEdqAAAACs71DGR4rvVi_RZwpEbGdrcN5Y29ycB4rvVioAJwpEbGdrcN5Y29ycA				the operator of a motor vehicle	core
driveway	03244388	Driveway	+			Q2251535	Mx4rvViw6ZwpEbGdrcN5Y29ycA				"a road leading up to a private house; ""they parked in the driveway"""	core
drop	13901585	ShapeAttribute	+			Q185789	Mx8Ngh4rvVkAUZwpEbGdrcN5Y29ycB4rvVjSoJwpEbGdrcN5Y29ycA				"a shape that is spherical and small; ""he studied the shapes of low-viscosity drops""; ""bead"	core
drug	03247620	BiologicallyActiveSubstance	+	schema:Drug	Drug	Q8386	Mx4rwP1OWpwpEbGdrcN5Y29ycA				a substance that is used as a medicine or narcotic	core
drug-user	10036266	DiseaseOrSyndrome	+								a person who takes drugs	core
drum	03249569	Drum	=		Drum	Q11404	Mx4rvV_tiJwpEbGdrcN5Y29ycA				a musical percussion instrument; usually consists of a hollow cylinder with a membrane str	core
duck	01846331	Duck	=			Q214264					small wild or domesticated web-footed broad-billed swimming bird usually having a depresse	core
due-east	13832355	East	=								the cardinal compass point that is at 90 degrees	core
due-west	13834399	West	=			Q679					the cardinal compass point that is a 270 degrees	core
duke	10038778	SocialRole	+		Duke	Q166886	Mx4rv0mEtJwpEbGdrcN5Y29ycA				a nobleman (in various countries) of high rank	core
dust	14839846	ParticulateMatter	+			Q165632					"fine powdery material such as dry earth or pollen that can be blown about in the air; ""the"	core
duty	00719494	Obligation	=			Q878070					"work that you are obliged to perform for moral or legal reasons; ""the duties of the job"""	core
dwelling	03259505	PermanentResidence	+		Dwelling	Q7743	Mx4rdMa9lbaeEdmFRQACs6hRjg				"housing that someone is living in; ""he built a modest dwelling near the pond""; ""they raise"	core
eagle	01613294	Bird	+			Q832721	Mx4rvViGopwpEbGdrcN5Y29ycA				any of various large keen-sighted diurnal birds of prey noted for their broad wings and st	core
eagle.communication	06881563	Icon	+								"an emblem representing power; ""the Roman eagle"""	core
ear	05320899	Ear	=			Q7362	Mx4rvVjL05wpEbGdrcN5Y29ycA				the sense organ for hearing and equilibrium	core
earth	09270894	PlanetEarth	=			Q16502					"the 3rd planet from the sun; the planet we live on; ""the Earth moves around the sun""; ""he "	core
earth-science	06115476	Science	@				Mx4rwE4AM5wpEbGdrcN5Y29ycA				any of the sciences that deal with the earth or its parts	core
earthquake	07428954	Earthquake	+		Earthquake	Q7944	Mx4rwQBYpZwpEbGdrcN5Y29ycA				shaking and vibration at the surface of the earth resulting from underground movement alon	core
ease	14491889	SubjectiveAssessmentAttribute	+								"a freedom from financial difficulty that promotes a comfortable state; ""a life of luxury a"	core
easiness	07515974	EmotionalState	+			Q3935810					"a feeling of refreshing tranquility and an absence of tension or worry; ""the easiness we f"	core
east	08562620	GeographicArea	@			Q205653					the countries of Asia	core
echo	05010801	Echoing	=			Q468809					"the repetition of a sound resulting from reflection of the sound waves; ""she could hear ec"	core
economic-consumption	13451804	Process	+								"(economics) the utilization of economic goods to satisfy needs or in manufacturing; ""the c"	core
economic-system	08366753	EconomicAttribute	=		Economic_system		Mx4rwI-mXpwpEbGdrcN5Y29ycA				the system of production and distribution and consumption	core
economic-value	13413493	CurrencyMeasure	+			Q868257					the amount (of money or goods or services) that is considered to be a fair equivalent for 	core
economics	06149484	Economics	@			Q8134					the branch of social science that deals with the production and distribution and consumpti	core
economist	10043643	Economist	=			Q188094					an expert in the science of economics	core
economy	04893787	TraitAttribute	+		Economy		Mx4rM3UOPLtJEdmAAAACs6hRjg				"frugality in the expenditure of money or resources; ""the Scots are famous for their econom"	core
ecstasy	13986372	Happiness	+			Q625143					"a state of being carried away by overwhelming emotion; ""listening to sweet music in a perf"	core
edge	03264136	Object	+			Q26382	Mx4rjS7DsrtQEdmAAAACs6hRjg				"a sharp side formed by the intersection of two surfaces of an object; ""he rounded the edge"	core
edition	06590446	EditionFn	=								the form in which a text (especially a printed book) is published	core
education	00883297	EducationalProcess	=		Education	Q8434					"the activities of educating or instructing; activities that impart knowledge or skill; ""he"	core
egg	07840804	BirdEgg	=			Q93189					oval reproductive body of a fowl (especially a hen) used as food	core
egg-white	07841037	BirdEgg	+			Q796758	Mx4rvmO0FpwpEbGdrcN5Y29ycA				the white part of an egg; the nutritive and protective gelatinous substance surrounding th	core
eggshell	09432430	BodyCovering	+			Q2731253					the exterior covering of a bird's egg	core
ego	07508806	Pride	+								an inflated feeling of pride in your superiority to others	core
elbow	05579944	Elbow	+			Q42586	Mx4rvVjjNZwpEbGdrcN5Y29ycA				hinge joint between the forearm and upper arm and the corresponding joint in the forelimb 	core
election	00181781	Election	=		Election	Q40231					"a vote to select the winner of a position or political office; ""the results of the electio"	core
electorate	08161068	SocialRole	+				Mx4reZsf2vw5EdyAAAACs6hbjw				the body of enfranchised citizens; those qualified to vote	core
electric-battery	02810471	Battery	+			Q267298					a device that produces electricity; may have several primary or secondary cells arranged i	core
electric-charge	11435028	FunctionQuantity	+			Q1111					the quantity of unbalanced electricity in a body (either positive or negative) and constru	core
electric-refrigerator	03273913	Refrigerator	=								a refrigerator in which the coolant is pumped around by an electric motor	core
electric-shock	00839292	OrganismProcess	+				Mx4rvVi0wJwpEbGdrcN5Y29ycA				"a reflex response to the passage of electric current through the body; ""subjects received "	core
electric-switch	04372370	SwitchDevice	=			Q5320					control consisting of a mechanical or electrical or electronic device for making or breaki	core
electrical-conductor	14821043	ConductorSubstance	+			Q124291					a substance that readily conducts e.g. electricity and heat	core
electricity	11449907	Radiating	+			Q12725	Mx4rvVkGfJwpEbGdrcN5Y29ycA				a physical phenomenon associated with stationary or moving electrons and protons	core
electron	09271904	Electron	=			Q2225	Mx4rvViB05wpEbGdrcN5Y29ycA				an elementary particle with negative charge	core
electronics	06099269	Electronics	=			Q11650					the branch of physics that deals with the emission and effects of electrons and with the u	core
elephant	02503517	Elephant	=		Elephant	Q7378	Mx4rvViVeJwpEbGdrcN5Y29ycA				five-toed pachyderm	core
elevator	03281145	Elevator	=		Elevator	Q132911	Mx4rvVj3ypwpEbGdrcN5Y29ycA				lifting device consisting of a platform or cage that is raised and lowered mechanically in	core
elite	08386555	Group	+			Q192797	Mx4rpbONRs33EdmAAAACs6hRjg				a group or class of persons enjoying superior intellectual or social or economic status	core
email	06279326	Device	+			Q9158					(computer science) a system of world-wide electronic communication in which a computer use	core
embassy	03282295	EmbassyBuilding	+	schema:Embassy	Embassy	Q2750585					a diplomatic building where ambassadors live or work	core
embryo	01458842	Embryonic	=			Q33196	Mx4rwP1ceZwpEbGdrcN5Y29ycA				an animal organism in the early stages of growth and differentiation that in higher forms 	core
emergency	07417405	SubjectiveAssessmentAttribute	+			Q5070802	Mx4rvqkmqZwpEbGdrcN5Y29ycA				"a sudden unforeseen crisis (usually involving danger) that requires immediate action; ""he "	core
emotion	07480068	EmotionalState	+		Emotion		Mx4rvViC_pwpEbGdrcN5Y29ycA				any strong feeling	core
emphasis	14434866	SubjectiveAssessmentAttribute	+								"special importance or significance; ""the red light gave the central figure increased empha"	core
empire	08405723	Government	+		Empire	Q48349	Mx4rvrUy_ZwpEbGdrcN5Y29ycA				a monarchy with an emperor as head of state	core
employee	10053808	Employee	=			Q703534					a worker who is hired to perform a job	core
employer	10054657	Employer	=								a person or firm that employs workers	core
employment	13968092	SocialRole	+			Q656365					"the state of being employed or having a job; ""they are looking for employment""; ""he was in"	core
empty-space	13910384	SpaceRegion	=								"an empty area (usually bounded in some way between things); ""the architect left space in f"	core
enchantment	14407536	Unconscious	+			Q466475					a psychological state induced by (or as if induced by) a magical incantation	core
enchantress	10055297	Woman	+								a female sorcerer or magician	core
encounter	07414922	Meeting	+								"a casual or unexpected convergence; ""he still remembers their meeting in Paris""; ""there wa"	core
end	08565894	Region	+								"a boundary marking the extremities of something; ""the end of town"""	core
end-product	03287178	Product	+								final product; the things produced	core
ending	07291312	EndFn	+				Mx4rjk6MsMCfEdmAAAACs6hRjg				"event whose occurrence ends something; ""his death marked the ending of an era""; ""when thes"	core
endurance	13962166	Living	+				Mx4rvVi1yJwpEbGdrcN5Y29ycA				a state of surviving; remaining alive	core
enemy	07946851	GroupOfPeople	+			Q289891	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rvVi2ipwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycA				"any hostile group of people; ""he viewed lawyers as the real enemy"""	core
engagement	08385009	Meeting	+			Q157512					"a meeting arranged in advance; ""she asked how to avoid kissing at the end of a date"""	core
engine	03287733	Machine	+		Engine	Q44167	Mx4rvVjOxJwpEbGdrcN5Y29ycA				motor that converts thermal energy to mechanical work	core
engineer	09615807	Engineer	=		Engineer	Q81096	Mx4rvVkBWpwpEbGdrcN5Y29ycA				a person who uses scientific knowledge to solve practical problems	core
engineering	06125041	FieldOfStudy	@		Engineering	Q11016					the discipline dealing with the art or science of applying scientific knowledge to practic	core
engrossment	05704266	Perception	+								complete attention; intense mental effort	core
entertainment	00429048	RecreationOrExercise	+		Entertainment	Q173799	Mx4rvVifGZwpEbGdrcN5Y29ycA				an activity that is diverting and that holds the attention	core
enthusiasm	05670343	EmotionalState	+			Q840407	Mx4rvViTqJwpEbGdrcN5Y29ycA				"a lively interest; ""enthusiasm for his program is growing"""	core
enticement	00159620	SocialInteraction	+			Q1053973					"the act of influencing by exciting hope or desire; ""his enticements were shameless"""	core
entitlement	05181754	NormativeAttribute	+								"right granted by law or contract (especially a right to benefits); ""entitlements make up t"	core
